tripletid,file_X,onset_X,offset_X,presentation_order,Practice,Target phone,Other phone,phoneitem_id_X,phone1_X,phone2_X,phone3_X,talker_X,sex_X,dialect_X,Block,dialect_OTH,dialect_TGT,distance_OTH_both_norm,distance_TGT_both_norm,file_OTH,file_TGT,offset_OTH,offset_TGT,onset_OTH,onset_TGT,phone1_OTH,phone1_TGT,phone3_OTH,phone3_TGT,phoneitem_id_OTH,phoneitem_id_TGT,sex_OTH,sex_TGT,talker_OTH,talker_TGT
t00000050941,TEST/DR5/MBPM0/SX47,0.115,0.3816,AB,FALSE,aa,ae,i30731,m,aa,m,MBPM0,M,DR5,B1,DR6,DR6,10.48556245,9.078376403,TRAIN/DR6/FHXS0/SX355,TRAIN/DR6/FHXS0/SI2335,2.4421,2.3586,2.2036,2.0689,m,m,m,m,i161117,i161067,F,F,FHXS0,FHXS0
t00000105620,TRAIN/DR7/MKDB0/SX62,0.3275,0.5511,AB,FALSE,aa,ae,i140961,k,aa,n,MKDB0,M,DR7,B2,DR7,DR7,14.06251298,17.38417577,TRAIN/DR7/MTML0/SX75,TRAIN/DR7/MTML0/SX435,0.8334,1.8589,0.6206,1.5925,k,k,n,n,i146038,i145924,M,M,MTML0,MTML0
t00000105963,TRAIN/DR6/MSAT1/SX353,0.1939,0.4825,AB,FALSE,aa,ae,i165116,k,aa,n,MSAT1,M,DR6,B3,DR7,DR7,11.70432643,10.68496503,TRAIN/DR7/MJFR0/SX75,TRAIN/DR7/MJFR0/SX435,0.9286,2.7287,0.6725,2.2425,k,k,n,n,i137166,i137024,M,M,MJFR0,MJFR0
t00000095760,TRAIN/DR4/MLJC0/SX55,0.8789,1.0684,BA,FALSE,aa,ae,i54456,k,aa,m,MLJC0,M,DR4,B1,DR2,DR2,18.83494813,19.07581217,TRAIN/DR2/FJKL0/SX392,TRAIN/DR2/FJKL0/SI932,1.1566,2.4759,0.9347,2.1825,k,k,m,m,i90972,i90917,F,F,FJKL0,FJKL0
t00000075973,TEST/DR4/MBNS0/SX50,0.4934,0.7258,BA,FALSE,aa,ae,i7672,r,aa,f,MBNS0,M,DR4,B2,DR4,DR4,9.347717869,6.751936823,TRAIN/DR4/MARW0/SX286,TRAIN/DR4/MARW0/SI646,2.3089,1.5825,2.06,1.3325,r,r,f,f,i56707,i56898,M,M,MARW0,MARW0
t00000000425,TEST/DR1/FDAC1/SX304,1.0802,1.53,BA,FALSE,aa,ae,i44329,t,aa,k,FDAC1,F,DR1,B3,DR6,DR6,9.327122037,14.62581841,TEST/DR6/FLNH0/SI584,TEST/DR6/FLNH0/SI941,0.7519,4.1225,0.4804,3.7991,t,t,k,k,i40196,i40162,F,F,FLNH0,FLNH0
t00000017157,TRAIN/DR2/MDWD0/SA1,0.6525,0.8525,AB,FALSE,aa,ah,i99043,d,aa,r,MDWD0,M,DR2,B1,DR7,DR7,11.10653919,14.02311133,TRAIN/DR7/FBLV0/SX338,TRAIN/DR7/FBLV0/SA1,2.2167,0.9321,2.0341,0.6971,d,d,r,r,i136059,i136018,F,F,FBLV0,FBLV0
t00000098530,TRAIN/DR5/FSKP0/SX288,0.7425,1.0757,AB,FALSE,aa,ah,i124645,k,aa,m,FSKP0,F,DR5,B2,DR1,DR1,11.56386353,9.904612701,TEST/DR1/FELC0/SX306,TEST/DR1/FELC0/SX36,1.5324,1.2896,1.2825,1.0025,k,k,m,m,i44051,i43806,F,F,FELC0,FELC0
t00000012734,TEST/DR4/FJMG0/SX101,3.4925,3.765,AB,FALSE,aa,ah,i3801,hh,aa,l,FJMG0,F,DR4,B3,DR7,DR7,10.74786133,9.034109125,TRAIN/DR7/MRMG0/SX360,TRAIN/DR7/MRMG0/SX270,2.8475,0.6434,2.48,0.3968,hh,hh,l,l,i151280,i151284,M,M,MRMG0,MRMG0
t00000007711,TRAIN/DR2/MTAT1/SX419,2.1436,2.4912,BA,FALSE,aa,ah,i96192,w,aa,tcl,MTAT1,M,DR2,B1,DR7,DR7,12.19217121,9.535184538,TRAIN/DR7/MSAH1/SI2309,TRAIN/DR7/MSAH1/SX419,1.6332,1.7856,1.5369,1.5718,w,w,tcl,tcl,i146153,i146182,M,M,MSAH1,MSAH1
t00000051162,TRAIN/DR6/FPAD0/SX446,0.1843,0.3672,BA,FALSE,aa,ah,i157507,t,aa,m,FPAD0,F,DR6,B2,DR2,DR2,12.77489655,12.50429274,TRAIN/DR2/MRJT0/SI1498,TRAIN/DR2/MRJT0/SX328,1.5931,1.239,1.3707,0.8511,t,t,m,m,i94766,i94988,M,M,MRJT0,MRJT0
t00000100328,TRAIN/DR2/MDEM0/SA1,3.0858,3.2625,BA,FALSE,aa,ah,i100768,w,aa,dx,MDEM0,M,DR2,B3,DR3,DR3,12.23173507,10.54098459,TEST/DR3/FCMH0/SI2084,TEST/DR3/FCMH0/SA1,0.2675,2.8025,0.135,2.6141,w,w,dx,dx,i11036,i11118,F,F,FCMH0,FCMH0
t00000043753,TRAIN/DR4/MRAB1/SX308,2.4483,2.7,AB,FALSE,aa,iy,i62304,r,aa,s,MRAB1,M,DR4,B1,DR7,DR7,7.830306574,5.973163839,TRAIN/DR7/MBTH0/SA1,TRAIN/DR7/MBTH0/SX302,1.7188,1.7169,1.4712,1.4606,r,r,s,s,i139787,i139814,M,M,MBTH0,MBTH0
t00000049930,TEST/DR2/FJWB0/SX95,0.2611,0.4875,AB,FALSE,aa,iy,i18576,w,aa,n,FJWB0,F,DR2,B2,DR2,DR2,10.23342838,9.476039209,TRAIN/DR2/MKAH0/SX178,TRAIN/DR2/MKAH0/SX88,2.8632,2.63,2.6559,2.4752,w,w,n,n,i104488,i104571,M,M,MKAH0,MKAH0
t00000020635,TEST/DR3/MHPG0/SI1090,2.2325,2.4775,AB,FALSE,aa,iy,i14087,r,aa,s,MHPG0,M,DR3,B3,DR2,DR2,15.80290035,14.60491605,TRAIN/DR2/FJKL0/SI932,TRAIN/DR2/FJKL0/SX392,3.6681,1.6846,3.4244,1.4619,r,r,s,s,i90932,i90980,F,F,FJKL0,FJKL0
t00000054803,TRAIN/DR4/FBAS0/SI2066,4.9025,5.3075,BA,FALSE,aa,iy,i63739,l,aa,r,FBAS0,F,DR4,B1,DR7,DR7,13.90294608,12.06989683,TRAIN/DR7/MTLC0/SA2,TRAIN/DR7/MTLC0/SI847,1.7467,0.6225,1.5274,0.3962,l,l,r,r,i152138,i152027,M,M,MTLC0,MTLC0
t00000056359,TRAIN/DR3/MDNS0/SI1011,3.2087,3.4084,BA,FALSE,aa,iy,i68731,l,aa,r,MDNS0,M,DR3,B2,DR3,DR3,8.963102453,7.80197717,TRAIN/DR3/MMEB0/SA2,TRAIN/DR3/MMEB0/SI1357,1.5222,3.5945,1.3473,3.3775,l,l,r,r,i75895,i75946,M,M,MMEB0,MMEB0
t00000061634,TEST/DR4/FSEM0/SX118,1.5175,1.7625,BA,FALSE,aa,iy,i8202,l,aa,r,FSEM0,F,DR4,B3,DR2,DR2,13.61942892,12.30589023,TEST/DR2/FCMR0/SA2,TEST/DR2/FCMR0/SX205,2.2898,2.0966,2.0183,1.8198,l,l,r,r,i20691,i20646,F,F,FCMR0,FCMR0
t00000016458,TRAIN/DR3/MPRD0/SA1,0.7258,0.9925,AB,FALSE,aa,uh,i69523,d,aa,r,MPRD0,M,DR3,B1,DR3,DR3,11.00598404,7.192533325,TEST/DR3/MWJG0/SX224,TEST/DR3/MWJG0/SA1,1.3211,0.8825,1.1462,0.6475,d,d,r,r,i14480,i14589,M,M,MWJG0,MWJG0
t00000015559,TEST/DR2/MABW0/SA1,0.6118,0.8277,AB,FALSE,aa,uh,i22765,d,aa,r,MABW0,M,DR2,B2,DR5,DR5,11.36849677,9.338983208,TRAIN/DR5/FSJG0/SI940,TRAIN/DR5/FSJG0/SA1,0.3759,1.4725,0.1369,1.1093,d,d,r,r,i113355,i113558,F,F,FSJG0,FSJG0
t00000015731,TRAIN/DR7/MJJM0/SA1,0.5125,0.69,AB,FALSE,aa,uh,i153735,d,aa,r,MJJM0,M,DR7,B3,DR5,DR5,11.06953306,11.04327471,TRAIN/DR5/FSJG0/SI940,TRAIN/DR5/FSJG0/SA1,0.3759,1.4725,0.1369,1.1093,d,d,r,r,i113355,i113558,F,F,FSJG0,FSJG0
t00000100193,TRAIN/DR3/FLJD0/SA1,2.055,2.2575,BA,FALSE,aa,uh,i89668,w,aa,dx,FLJD0,F,DR3,B1,DR2,DR2,14.8780747,12.03186212,TEST/DR2/MRCZ0/SI2171,TEST/DR2/MRCZ0/SA1,0.8975,2.5675,0.77,2.355,w,w,dx,dx,i17269,i17177,M,M,MRCZ0,MRCZ0
t00000015535,TRAIN/DR1/FSJK1/SA1,0.6527,0.9295,BA,FALSE,aa,uh,i172703,d,aa,r,FSJK1,F,DR1,B2,DR5,DR5,14.69811576,8.082275988,TRAIN/DR5/FSJG0/SI940,TRAIN/DR5/FSJG0/SA1,0.3759,1.4725,0.1369,1.1093,d,d,r,r,i113355,i113558,F,F,FSJG0,FSJG0
t00000016526,TRAIN/DR7/MSAH1/SA1,0.6175,0.7792,BA,FALSE,aa,uh,i146311,d,aa,r,MSAH1,M,DR7,B3,DR3,DR3,10.54104263,9.007216048,TEST/DR3/MWJG0/SX224,TEST/DR3/MWJG0/SA1,1.3211,0.8825,1.1462,0.6475,d,d,r,r,i14480,i14589,M,M,MWJG0,MWJG0
t00000017958,TRAIN/DR2/FMMH0/SA1,0.8459,1.0704,AB,FALSE,aa,uw,i93036,d,aa,r,FMMH0,F,DR2,B1,DR2,DR2,12.13611519,14.05294871,TRAIN/DR2/MRFK0/SI2336,TRAIN/DR2/MRFK0/SA1,1.4517,0.8041,1.0075,0.5525,d,d,r,r,i110840,i110901,M,M,MRFK0,MRFK0
t00000017994,TRAIN/DR2/FSKL0/SA1,0.5509,0.7519,AB,FALSE,aa,uw,i97517,d,aa,r,FSKL0,F,DR2,B2,DR2,DR2,14.06421955,10.42055893,TRAIN/DR2/MRFK0/SI2336,TRAIN/DR2/MRFK0/SA1,1.4517,0.8041,1.0075,0.5525,d,d,r,r,i110840,i110901,M,M,MRFK0,MRFK0
t00000018167,TRAIN/DR4/MJDC0/SA1,0.6606,0.9008,AB,FALSE,aa,uw,i59215,d,aa,r,MJDC0,M,DR4,B3,DR2,DR2,10.97231362,8.714200943,TRAIN/DR2/MRFK0/SI2336,TRAIN/DR2/MRFK0/SA1,1.4517,0.8041,1.0075,0.5525,d,d,r,r,i110840,i110901,M,M,MRFK0,MRFK0
t00000017936,TRAIN/DR5/FLJA0/SA1,1.2755,1.5324,BA,FALSE,aa,uw,i123397,d,aa,r,FLJA0,F,DR5,B1,DR2,DR2,11.68840375,9.001334257,TRAIN/DR2/MRFK0/SI2336,TRAIN/DR2/MRFK0/SA1,1.4517,0.8041,1.0075,0.5525,d,d,r,r,i110840,i110901,M,M,MRFK0,MRFK0
t00000018118,TRAIN/DR2/MEFG0/SA1,0.6971,0.9321,BA,FALSE,aa,uw,i92714,d,aa,r,MEFG0,M,DR2,B2,DR2,DR2,11.17125824,7.8197888,TRAIN/DR2/MRFK0/SI2336,TRAIN/DR2/MRFK0/SA1,1.4517,0.8041,1.0075,0.5525,d,d,r,r,i110840,i110901,M,M,MRFK0,MRFK0
t00000018285,TEST/DR7/MNLS0/SA1,0.6275,0.8475,BA,FALSE,aa,uw,i37946,d,aa,r,MNLS0,M,DR7,B3,DR2,DR2,12.08413112,8.972234967,TRAIN/DR2/MRFK0/SI2336,TRAIN/DR2/MRFK0/SA1,1.4517,0.8041,1.0075,0.5525,d,d,r,r,i110840,i110901,M,M,MRFK0,MRFK0
t00000086662,TRAIN/DR8/FNKL0/SA2,1.4987,1.859,AB,FALSE,ae,aa,i177272,r,ae,g,FNKL0,F,DR8,B1,DR3,DR3,12.69181815,8.600858227,TRAIN/DR3/FGCS0/SX136,TRAIN/DR3/FGCS0/SA2,1.2238,2.8356,1.0074,2.5143,r,r,g,g,i78954,i79096,F,F,FGCS0,FGCS0
t00000102551,TRAIN/DR6/FRJB0/SA2,0.78,1.0626,AB,FALSE,ae,aa,i164360,k,ae,r,FRJB0,F,DR6,B2,DR6,DR6,9.117126672,5.950495277,TRAIN/DR6/FKLC1/SX328,TRAIN/DR6/FKLC1/SA2,1.8929,1.0939,1.6866,0.7925,k,k,r,r,i166180,i166085,F,F,FKLC1,FKLC1
t00000102457,TRAIN/DR1/FSMA0/SA2,0.8575,1.1694,AB,FALSE,ae,aa,i174735,k,ae,r,FSMA0,F,DR1,B3,DR6,DR6,13.75335075,7.633699657,TRAIN/DR6/FHXS0/SI1075,TRAIN/DR6/FHXS0/SA2,3.105,1.1932,2.6834,0.8175,k,k,r,r,i161023,i161180,F,F,FHXS0,FHXS0
t00000095506,TEST/DR4/MKCL0/SA2,1.6318,1.9875,BA,FALSE,ae,aa,i3345,r,ae,g,MKCL0,M,DR4,B1,DR4,DR4,10.59903394,6.500574428,TRAIN/DR4/MSFH0/SX136,TRAIN/DR4/MSFH0/SA2,1.3025,2.7325,1.0679,2.3159,r,r,g,g,i64411,i64557,M,M,MSFH0,MSFH0
t00000091237,TRAIN/DR4/FPAF0/SA2,1.6073,1.9256,BA,FALSE,ae,aa,i65663,r,ae,g,FPAF0,F,DR4,B2,DR2,DR2,11.17376469,8.966579762,TRAIN/DR2/MMAG0/SX136,TRAIN/DR2/MMAG0/SA2,1.2325,1.9895,1.0075,1.5822,r,r,g,g,i109578,i109725,M,M,MMAG0,MMAG0
t00000105479,TRAIN/DR6/MTJU0/SI760,0.4475,0.721,BA,FALSE,ae,aa,i156382,k,ae,n,MTJU0,M,DR6,B3,DR7,DR7,15.24815232,15.14507415,TRAIN/DR7/MTML0/SX435,TRAIN/DR7/MTML0/SX75,1.8589,0.8334,1.5925,0.6206,k,k,n,n,i145924,i146038,M,M,MTML0,MTML0
t00000089910,TRAIN/DR2/MHRM0/SA2,1.4313,1.6894,AB,FALSE,ae,ah,i94235,r,ae,g,MHRM0,M,DR2,B1,DR8,DR8,8.318803888,10.38888102,TEST/DR8/MSLB0/SX383,TEST/DR8/MSLB0/SA2,2.4337,1.9475,2.1625,1.5561,r,r,g,g,i47688,i47796,M,M,MSLB0,MSLB0
t00000092931,TRAIN/DR5/MMAB1/SA2,1.6475,2.0651,AB,FALSE,ae,ah,i119384,r,ae,g,MMAB1,M,DR5,B2,DR1,DR1,14.75329822,8.120432539,TEST/DR1/MWBT0/SX383,TEST/DR1/MWBT0/SA2,3.5475,2.1152,3.1302,1.6919,r,r,g,g,i43317,i43355,M,M,MWBT0,MWBT0
t00000082910,TEST/DR2/FCMR0/SA2,2.1619,2.5613,AB,FALSE,ae,ah,i20693,r,ae,g,FCMR0,F,DR2,B3,DR8,DR8,14.01154418,12.46450862,TRAIN/DR8/FCEG0/SX78,TRAIN/DR8/FCEG0/SA2,1.1904,1.7803,1.0213,1.5012,r,r,g,g,i178846,i178923,F,F,FCEG0,FCEG0
t00000082998,TRAIN/DR8/FMBG0/SA2,1.6553,1.9425,BA,FALSE,ae,ah,i179231,r,ae,g,FMBG0,F,DR8,B1,DR8,DR8,11.20303069,12.00666157,TRAIN/DR8/FCEG0/SX78,TRAIN/DR8/FCEG0/SA2,1.1904,1.7803,1.0213,1.5012,r,r,g,g,i178846,i178923,F,F,FCEG0,FCEG0
t00000086372,TRAIN/DR2/MKDT0/SA2,1.5378,1.8788,BA,FALSE,ae,ah,i91672,r,ae,g,MKDT0,M,DR2,B2,DR2,DR2,8.864851006,7.881084644,TRAIN/DR2/MJDE0/SI463,TRAIN/DR2/MJDE0/SA2,1.8,2.6775,1.4025,2.1825,r,r,g,g,i94406,i94539,M,M,MJDE0,MJDE0
t00000085583,TRAIN/DR3/FDFB0/SA2,1.4203,1.7486,BA,FALSE,ae,ah,i80514,r,ae,g,FDFB0,F,DR3,B3,DR3,DR3,10.46013223,8.20839157,TRAIN/DR3/MKLS1/SI915,TRAIN/DR3/MKLS1/SA2,4.2038,2.0469,3.8324,1.6841,r,r,g,g,i90796,i90614,M,M,MKLS1,MKLS1
t00000106709,TRAIN/DR5/FLMK0/SA2,2.5712,2.9075,AB,FALSE,ae,iy,i118785,dh,ae,q,FLMK0,F,DR5,B1,DR7,DR7,17.81972448,8.863983145,TEST/DR7/FGWR0/SX228,TEST/DR7/FGWR0/SI2208,1.8794,2.2481,1.7363,2.0138,dh,dh,q,q,i33474,i33291,F,F,FGWR0,FGWR0
t00000051357,TRAIN/DR4/MJPM1/SA2,0.4225,0.7219,AB,FALSE,ae,iy,i56303,nx,ae,s,MJPM1,M,DR4,B2,DR5,DR5,12.64766038,7.202496517,TRAIN/DR5/MBGT0/SI1841,TRAIN/DR5/MBGT0/SA2,3.2769,0.6869,3.0417,0.3725,nx,nx,s,s,i131533,i131652,M,M,MBGT0,MBGT0
t00000093723,TRAIN/DR3/FSKC0/SA2,1.8058,2.1256,AB,FALSE,ae,iy,i85857,r,ae,g,FSKC0,F,DR3,B3,DR5,DR5,8.63122659,7.336244607,TRAIN/DR5/MTAT0/SI811,TRAIN/DR5/MTAT0/SA2,1.1122,1.765,0.8975,1.4308,r,r,g,g,i116152,i116140,M,M,MTAT0,MTAT0
t00000011609,TRAIN/DR2/MRJH0/SA2,2.0174,2.4288,BA,FALSE,ae,iy,i100371,dh,ae,tcl,MRJH0,M,DR2,B1,DR4,DR4,13.07503301,8.043544905,TRAIN/DR4/MJDC0/SI1161,TRAIN/DR4/MJDC0/SA2,0.4308,2.1514,0.2475,1.7963,dh,dh,tcl,tcl,i59100,i59207,M,M,MJDC0,MJDC0
t00000076985,TRAIN/DR5/MGES0/SA2,0.2321,0.4593,BA,FALSE,ae,iy,i116410,n,ae,s,MGES0,M,DR5,B2,DR4,DR4,14.1849241,6.75980637,TEST/DR4/MTEB0/SX413,TEST/DR4/MTEB0/SA2,0.7662,0.5544,0.445,0.295,n,n,s,s,i4038,i3932,M,M,MTEB0,MTEB0
t00000011342,TRAIN/DR7/FREH0/SX325,1.3354,1.5411,BA,FALSE,ae,iy,i142821,dh,ae,tcl,FREH0,F,DR7,B3,DR4,DR4,15.03689455,12.99192937,TRAIN/DR4/MJDC0/SI1161,TRAIN/DR4/MJDC0/SA2,0.4308,2.1514,0.2475,1.7963,dh,dh,tcl,tcl,i59100,i59207,M,M,MJDC0,MJDC0
t00000074840,TEST/DR2/FJRE0/SA1,0.2976,0.5041,AB,FALSE,ae,uh,i24198,hv,ae,dcl,FJRE0,F,DR2,B1,DR5,DR5,13.4428944,8.552211276,TRAIN/DR5/MWSH0/SI2266,TRAIN/DR5/MWSH0/SA1,0.9243,0.5681,0.7232,0.3472,hv,hv,dcl,dcl,i126664,i126711,M,M,MWSH0,MWSH0
t00000076117,TRAIN/DR6/FLAG0/SX294,1.0809,1.4138,AB,FALSE,ae,uh,i158168,r,ae,f,FLAG0,F,DR6,B2,DR2,DR2,10.63109853,8.746460681,TRAIN/DR2/MCTM0/SI1980,TRAIN/DR2/MCTM0/SX450,4.0415,3.0725,3.6629,2.7356,r,r,f,f,i112277,i112217,M,M,MCTM0,MCTM0
