subject_id,subject_language,survey_time,comments,experiment_topic
X_NBOVZKXHYP,French_turkers,3:50.3,I didn't meet any problemns I noticed some were very easy to differentiate some were pretty close harder to choose - J'ai trouvé intéressant d'entendre à priori le même mot ou morceau de mot mais prononcé différemment!,Vous avez étudiez les accents de différentes régions! I guess you are checking wich accent is easier to recognize from a foreigner point of view (or point of ear) like scotish tend to be harder to understand than australian accent (just my two cent)
X_GSCFJIHBAT,French_turkers,1:21.9,Pas vraiment sauf quelques problèmes de compréhension au début de l'expérience mais on s'y habitue facilement.,Peut être les différents accents et leurs prononciations 
X_GNFCPBLQWH,French_turkers,0:29.8,Aucun problème,Franchement pas.
X_XFJHTRAVDS,French_turkers,1:2.9,Pas evident de ne pas pouvoir reecouter les extraits. Aucun probleme technique,Apprendre a une IA la perception de sons tres proches
X_RAJNVIKESZ,French_turkers,4:33.3,Intéressant dans le traitement des sons que l'on assimile à une langue que l'on connait ou qui nous semble familière ,reconnaissance vocale - un mot prononcé avec une voix grave ou aiguë peut sembler ne pas être le même mot. Traitement du son par le cerveau  
X_VTOCLMQXBG,French_turkers,2:35.7,Il n'y avait pas ou peu d'espace entre les sons. - Le deuxième son était très dur à discerner,Voir a quel niveau l'accent/prononciation d'un mot affecte sa compréhension ?
X_IQXSHNGZCM,French_turkers,4:36.7,Simple et rapide. - Ne pas pouvoir réécouter les fichiers audios est par contre frustrant.,J'imagine que l'étude porte sur la reconnaissance audio pour aider les programmes de transcription auto.
X_FOEUYGLXMN,French_turkers,2:9.1,Rien à signaler ,La perception phonetiques des syllabes.  - De quelle façonle cerveau rapproche differents sons. (Peut être)
X_DZKTGHQUVX,French_turkers,2:0.7,Un peu répétitif mais la répétition permet de corriger les erreurs,les différentes sonorités de mots anglais qui semblent similaires à l'écoute (Madam/Mom water etc...)
X_AOWFGVKSRL,French_turkers,0:33.4,Les fichiers audios était étrange mais c'était une bonne expérience.,Aucune. Peut-être la façon dont on s'exprime versus la manière dont on est perçu.
X_JELXPGUQHS,French_turkers,1:56.1,non,la facilité à distinguer des sons
X_OZPVJCDNWB,English_turkers,0:11.7,No.,No.
X_VSADHMNRTY,English_turkers,0:28.5,i learn more things for this survey,sorry no idea
X_QSIDGNJYEP,English_turkers,0:26.5,it was fun i liked it.,no
X_YEQIXKGTAS,English_turkers,0:35.4,No issues or comments.,Maybe which sounds are likely to get confused more often.
X_AXWEZDQOFS,English_turkers,1:17.2,Liked the test; had to put up the volume pretty high to hear the files. No technical issues.,No.
X_PEONHBIQRV,English_turkers,0:14.9,no,nothing
X_PGVFRHIYSB,English_turkers,1:31.3,I did not have any technical issues. I found this task to be enjoyable with clear directions. ,Im not sure what the purpose of this study could be.
X_KBXGIJULTR,English_turkers,0:22.3,It was interesting. No issues. The reward should be higher for the time it takes.,I have no idea.
X_QPUMCYKHDR,English_turkers,1:23.7,I enjoyed the test. Some of the sounds were faster than others or louder/lighter than others. This was an interesting test. I did have a moment during the second attention check where I couldn't quite here the letter because at the same time a loud motorcycle was coming down my street so I tried my best to make it out.,I think you're testing if I can hear different pitches.
X_FWBUSNJKYC,English_turkers,1:23.5,I had 2 maybe 3 files that did not play when I hit the space bar/clicked the play button and the only way to move forward was to select F or J,no
X_HWGYAJIBSR,English_turkers,0:37.6,no complaints and issues  ,may be our memory 
X_WGBDQTUZRF,English_turkers,0:3.7,,
X_HEBZOCRNSI,English_turkers,1:34.8,I thought it was very straightforward. I had no problems and everything went really smoothly.,I think the study was to identify whether people can people up on subtle differences in sounds.
X_ZNYPAJQFXM,English_turkers,0:25.5,no,no
X_GQNFZYRPUA,English_turkers,1:7.8,I liked it! No technical issues of any kind.,I guess it's about how people differentiate between sounds in their own language compared to sounds from a foreign language.
X_BLEVGUCNMR,English_turkers,0:15.8,No issues. Very straightforward.,Not really no.
X_YTNIQGBFUK,English_turkers,1:22.9,No issues test was fine. Once in a while the next page did take la second or two to load but that was very few and far between.,I have no idea of there than similarity of sounds.
X_IORUAGCTBP,English_turkers,0:35.2,no issues.,How sounds seem similiar
X_BUGXOYJZHC,English_turkers,0:25.3,,How we perceive speech and if we can tell a difference.
X_AKLYBHVNXS,English_turkers,0:7.9,none,none
X_JFHIRBXWTS,English_turkers,3:27.6,"No technical issues exactly but I had to turn my headphones all the way up (100%) to hear the sound files at a ""normal"" volume - I usually have them at 25% max.  - Also occasionally the first and second sound files ran together as if it were a two syllable word rather than two separate files/utterances. It required an extra second of brain processing time to consciously separate the two.",What accents (English language) are perceived as similar? Or which sounds (consonants and/or vowels) are perceived as similar>
X_ICEAYUQSRH,English_turkers,0:51.1,No issues pay could be better,No idea how we interpret sounds from different people maybe.
X_MUVEAKSGPH,English_turkers,2:35.5,good,the investigated in task
