File1	Silence1	File2	Silence2	File3	CORR_ANS	filename
amelia_vowels6	500ms_silence	amelia_vowels13	500ms_silence	ewan6	A	stimulus1
amelia_vowels9	500ms_silence	amelia_vowels2	500ms_silence	ewan2	B	stimulus2
ewan2	500ms_silence	ewan9	500ms_silence	amelia_vowels9	B	stimulus3
ewan13	500ms_silence	ewan6	500ms_silence	amelia_vowels13	A	stimulus4
amelia_vowels2	500ms_silence	amelia_vowels17	500ms_silence	ewan2	A	stimulus5
ewan21	500ms_silence	ewan6	500ms_silence	amelia_vowels6	B	stimulus6
ewan2	500ms_silence	ewan17	500ms_silence	amelia_vowels17	B	stimulus7
amelia_vowels21	500ms_silence	amelia_vowels6	500ms_silence	ewan21	A	stimulus8
ewan6	500ms_silence	ewan37	500ms_silence	amelia_vowels6	A	stimulus9
amelia_vowels33	500ms_silence	amelia_vowels2	500ms_silence	ewan2	B	stimulus10
ewan2	500ms_silence	ewan33	500ms_silence	amelia_vowels33	B	stimulus11
amelia_vowels37	500ms_silence	amelia_vowels6	500ms_silence	ewan37	A	stimulus12
amelia_vowels2	500ms_silence	amelia_vowels25	500ms_silence	ewan2	A	stimulus13
ewan29	500ms_silence	ewan6	500ms_silence	amelia_vowels6	B	stimulus14
amelia_vowels6	500ms_silence	amelia_vowels29	500ms_silence	ewan29	B	stimulus15
ewan25	500ms_silence	ewan2	500ms_silence	amelia_vowels25	A	stimulus16
ewan6	500ms_silence	ewan45	500ms_silence	amelia_vowels6	A	stimulus17
amelia_vowels41	500ms_silence	amelia_vowels2	500ms_silence	ewan2	B	stimulus18
ewan2	500ms_silence	ewan41	500ms_silence	amelia_vowels41	B	stimulus19
amelia_vowels45	500ms_silence	amelia_vowels6	500ms_silence	ewan45	A	stimulus20
ewan10	500ms_silence	ewan17	500ms_silence	amelia_vowels10	A	stimulus21
ewan21	500ms_silence	ewan14	500ms_silence	amelia_vowels14	B	stimulus22
amelia_vowels14	500ms_silence	amelia_vowels21	500ms_silence	ewan21	B	stimulus23
amelia_vowels17	500ms_silence	amelia_vowels10	500ms_silence	ewan17	A	stimulus24
amelia_vowels10	500ms_silence	amelia_vowels33	500ms_silence	ewan10	A	stimulus25
amelia_vowels37	500ms_silence	amelia_vowels14	500ms_silence	ewan14	B	stimulus26
ewan14	500ms_silence	ewan37	500ms_silence	amelia_vowels37	B	stimulus27
ewan33	500ms_silence	ewan10	500ms_silence	amelia_vowels33	A	stimulus28
ewan10	500ms_silence	ewan25	500ms_silence	amelia_vowels10	A	stimulus29
amelia_vowels25	500ms_silence	amelia_vowels10	500ms_silence	ewan10	B	stimulus30
amelia_vowels14	500ms_silence	amelia_vowels29	500ms_silence	ewan29	B	stimulus31
ewan29	500ms_silence	ewan14	500ms_silence	amelia_vowels29	A	stimulus32
amelia_vowels10	500ms_silence	amelia_vowels41	500ms_silence	ewan10	A	stimulus33
amelia_vowels45	500ms_silence	amelia_vowels14	500ms_silence	ewan14	B	stimulus34
ewan14	500ms_silence	ewan45	500ms_silence	amelia_vowels45	B	stimulus35
ewan41	500ms_silence	ewan10	500ms_silence	amelia_vowels41	A	stimulus36
ewan22	500ms_silence	ewan37	500ms_silence	amelia_vowels22	A	stimulus37
amelia_vowels37	500ms_silence	amelia_vowels22	500ms_silence	ewan22	B	stimulus38
ewan18	500ms_silence	ewan33	500ms_silence	amelia_vowels33	B	stimulus39
amelia_vowels33	500ms_silence	amelia_vowels18	500ms_silence	ewan33	A	stimulus40
ewan22	500ms_silence	ewan29	500ms_silence	amelia_vowels22	A	stimulus41
amelia_vowels29	500ms_silence	amelia_vowels22	500ms_silence	ewan22	B	stimulus42
amelia_vowels18	500ms_silence	amelia_vowels25	500ms_silence	ewan25	B	stimulus43
ewan25	500ms_silence	ewan18	500ms_silence	amelia_vowels25	A	stimulus44
ewan18	500ms_silence	ewan41	500ms_silence	amelia_vowels18	A	stimulus45
amelia_vowels41	500ms_silence	amelia_vowels18	500ms_silence	ewan18	B	stimulus46
amelia_vowels22	500ms_silence	amelia_vowels45	500ms_silence	ewan45	B	stimulus47
ewan45	500ms_silence	ewan22	500ms_silence	amelia_vowels45	A	stimulus48
amelia_vowels34	500ms_silence	amelia_vowels25	500ms_silence	ewan34	A	stimulus49
ewan29	500ms_silence	ewan38	500ms_silence	amelia_vowels38	B	stimulus50
amelia_vowels38	500ms_silence	amelia_vowels29	500ms_silence	ewan29	B	stimulus51
ewan25	500ms_silence	ewan34	500ms_silence	amelia_vowels25	A	stimulus52
ewan34	500ms_silence	ewan41	500ms_silence	amelia_vowels34	A	stimulus53
amelia_vowels41	500ms_silence	amelia_vowels34	500ms_silence	ewan34	B	stimulus54
amelia_vowels38	500ms_silence	amelia_vowels45	500ms_silence	ewan45	B	stimulus55
ewan45	500ms_silence	ewan38	500ms_silence	amelia_vowels45	A	stimulus56
ewan34	500ms_silence	ewan41	500ms_silence	amelia_vowels34	A	stimulus57
amelia_vowels45	500ms_silence	amelia_vowels38	500ms_silence	ewan38	B	stimulus58
ewan38	500ms_silence	ewan45	500ms_silence	amelia_vowels45	B	stimulus59
amelia_vowels41	500ms_silence	amelia_vowels34	500ms_silence	ewan41	A	stimulus60
amelia_consonants30	500ms_silence	amelia_consonants23	500ms_silence	ewan78	A	stimulus61
ewan66	500ms_silence	ewan76	500ms_silence	amelia_consonants28	B	stimulus62
ewan78	500ms_silence	ewan71	500ms_silence	amelia_consonants23	B	stimulus63
amelia_consonants18	500ms_silence	amelia_consonants28	500ms_silence	ewan66	A	stimulus64
ewan78	500ms_silence	ewan55	500ms_silence	amelia_consonants30	A	stimulus65
amelia_consonants7	500ms_silence	amelia_consonants30	500ms_silence	ewan78	B	stimulus66
