login,[orderSI=0,orderAI=0],None,None,0:13.0,0;,[]
media_test,[audio,stimulus1_A,orderSI=1,orderAI=1],1,None,0:8.6,1;,[]
consent,[prot_demo_consent,orderSI=2,orderAI=2],None,None,0:2.4,2;,[]
valsurvey,[presurvey,orderSI=3,orderAI=3],None,None,2:17.0,3;,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
text_page,[prot_instr1,bindSubmitKeyIDList=,[space],orderSI=4,orderAI=4],None,None,0:2.8,4;,[]
text_page,[prot_instr2,bindSubmitKeyIDList=,[space],orderSI=5,orderAI=5],None,None,0:1.1,5;,[]
text_page,[prot_instr3,bindSubmitKeyIDList=,[space],orderSI=6,orderAI=6],None,None,0:0.8,6;,[]
text_page,[prot_announcement_catch_trial,bindSubmitKeyIDList=,[space],orderSI=7,orderAI=7],None,None,0:0.6,7;,[]
media_choice,[prot_catch_trial,audio,0.5,1,1,[[stimulus49_A]],[1,2],bindPlayKeyIDList=,[space],bindResponseKeyIDList=,[f,j],orderSI=8,orderAI=8],1,None,0:5.4,8;,0,1
media_choice,[prot_catch_trial,audio,0.5,1,1,[[stimulus50_B]],[1,2],bindPlayKeyIDList=,[space],bindResponseKeyIDList=,[f,j],orderSI=9,orderAI=9],1,None,0:4.6,9;,1,0
media_choice,[prot_catch_trial,audio,0.5,1,1,[[stimulus100_A]],[1,2],bindPlayKeyIDList=,[space],bindResponseKeyIDList=,[f,j],orderSI=10,orderAI=10],1,None,0:4.3,10;,0,1
media_choice,[prot_catch_trial,audio,0.5,1,1,[[stimulus104_A]],[1,2],bindPlayKeyIDList=,[space],bindResponseKeyIDList=,[f,j],orderSI=11,orderAI=11],1,None,0:3.9,11;,0,1
text_page,[announcement_one_play_two_responses,bindSubmitKeyIDList=,[space],orderSI=12,orderAI=12],None,None,0:1.0,12;,[]
text_page,[announcement_one_play_two_responses2,bindSubmitKeyIDList=,[space],orderSI=13,orderAI=13],None,None,0:1.0,13;,[]
media_choice,[one_play_two_responses,audio,0.5,1,1,[[stimulus137_A]],[1,2],bindPlayKeyIDList=,[space],bindResponseKeyIDList=,[f,j],orderSI=21,orderAI=14],1,None,0:4.3,14;,0,1
media_choice,[one_play_two_responses,audio,0.5,1,1,[[stimulus89_A]],[1,2],bindPlayKeyIDList=,[space],bindResponseKeyIDList=,[f,j],orderSI=37,orderAI=15],1,None,0:4.4,15;,0,1
