subject_id,subject_language,survey_time,chrome,firefox,IE,safari,opera,other,don't know,headphones ,speakers,earbuds,very bad,bad,normal,good,very good,distractions_yes,distractions_no,wireless,wired,very_slowly,slowly,tolerably_so,pretty_fast,no_loading_time,satisfaction
X_NYTPVFXZEQ,English,0:24.6,1,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,71.0
X_ZNQUEDTXJI,English,0:50.7,1,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,89.0
X_QIKLSBVNJW,English,0:21.3,0,1,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,97.0
X_IHTYDKWOUB,English,0:26.7,1,0,0,0,0,0,0,0,1.0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,78.0
X_USOZJQCKNP,English,0:29.1,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,55.0
X_PAUOGDRHWC,English,0:22.1,1,0,0,0,0,0,0,0,1.0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,86.0
X_BZERFGTOHI,English,0:21.7,1,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,68.0
X_HSOJYVMPCZ,English,0:40.1,1,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,97.0
X_YNBAOIZRUF,English,0:51.5,1,0,0,0,0,0,0,0,0.0,1,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,81.0
X_AZEPSKHXGR,English,0:29.4,1,0,0,0,0,0,0,0,1.0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,93.0
X_TQVPAWKGNY,English,0:25.0,1,0,0,0,0,0,0,0,1.0,0,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,82.0
X_WBDYKIXFME,English,0:38.8,1,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,93.0
X_QGYFCXHMLA,English,0:18.8,1,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,98.0
X_FVOMEJGDSN,English,0:24.5,0,1,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,87.0
X_ADBVFQEMRU,English,0:25.1,1,0,0,0,0,0,0,0,0.0,1,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,79.0
X_FXGHWLMQCS,English,0:26.0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,94.0
X_QHAFLZPXYK,English,0:36.7,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,82.0
X_UQOBHMDJTV,English,0:18.8,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,90.0
X_QLTORFAUPY,English,0:23.1,0,1,0,0,0,0,0,1,0.0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,73.0
X_OIRVNFXPHD,English,0:39.8,1,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,79.0
X_VHNXKCTPGY,English,0:31.9,1,0,0,0,0,0,0,0,0.0,1,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,50.0
X_CSKAOILVZG,English,0:28.1,1,0,0,0,0,0,0,0,1.0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,99.0
X_BYVADSQELN,English,0:30.1,0,1,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,63.0
X_LIWTCPQRJF,English,0:28.0,1,0,0,0,0,0,0,0,1.0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,95.0
X_DIGHMRZLPU,English,0:38.4,0,0,0,0,0,1,0,1,0.0,0,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,87.0
X_ZKFOJCDRXE,English,0:30.7,1,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,71.0
X_DJFNIWOBUT,English,0:31.0,1,0,0,0,0,0,0,0,1.0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,84.0
X_LBXVQRFACN,English,0:33.9,1,0,0,0,0,0,0,0,0,1,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,92.0
X_WHUJSAETKQ,English,0:14.6,0,1,0,0,0,0,0,0,1.0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0
X_PLMNDAWFYX,English,0:39.9,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0
X_YJROLQXDZN,English,0:29.2,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,86.0
X_KWUNYTXGVO,English,0:10.3,0,1,0,0,0,0,0,0,1.0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,87.0
X_DFJRESILUO,English,0:34.6,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,89.0
X_PSHLVZIYUW,English,0:58.3,1,0,0,0,0,0,0,0,1.0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0
X_GQNFBXPZSD,English,0:27.7,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
X_AXCNFTDGSM,English,0:23.3,1,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
X_VPMSCXUJAN,English,0:25.4,0,1,0,0,0,0,0,1,0.0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,57.0
X_WJXGTNHBDP,English,0:35.7,0,1,0,0,0,0,0,1,0.0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0
X_NZLPFAHTKB,English,0:37.2,1,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0
X_NGJUQAXFZV,English,0:24.3,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,91.0
X_XIDZHAEBFW,English,0:17.6,1,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,63.0
X_XYIRZHEACW,English,0:31.9,1,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,93.0
X_XRMQCBJLNH,English,0:12.1,0,1,0,0,0,0,0,1,0.0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,95.0
X_FOIWTSZKLV,English,0:29.8,1,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,57.0
X_OKXZDSJAYQ,English,0:28.2,1,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,86.0
X_KITZECWFXJ,English,0:18.1,1,0,0,0,0,0,0,0,1.0,0,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,89.0
X_GBRZITDOWP,English,1:44.4,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
X_KGHYTJPVCI,English,0:27.2,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,95.0
X_BRLCKYJPGD,English,0:27.6,0,1,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,89.0
X_DYNUSICAFL,English,0:17.1,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0
X_XAZWVSGYTC,English,0:22.8,1,0,0,0,0,0,0,0,1.0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
X_GWZSFPCMOA,English,0:29.4,1,0,0,0,0,0,0,0,1.0,0,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,58.0
X_MRIPLFQBAU,French,0:29.4,0,1,0,0,0,0,0,0,1.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,79.0
X_KIXHYRSVPL,French,0:34.1,1,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,76.0
X_JBROQLXDMA,French,0:27.3,1,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,35.0
