subject_id,subject_language,survey_time,comments,experiment_topic
X_NYTPVFXZEQ,English,0:26.5,it was fun i liked it.,no
X_ZNQUEDTXJI,English,1:17.2,Liked the test; had to put up the volume pretty high to hear the files. No technical issues.,No.
X_QIKLSBVNJW,English,3:27.6,"No technical issues exactly but I had to turn my headphones all the way up (100%) to hear the sound files at a ""normal"" volume - I usually have them at 25% max.  - Also occasionally the first and second sound files ran together as if it were a two syllable word rather than two separate files/utterances. It required an extra second of brain processing time to consciously separate the two.",What accents (English language) are perceived as similar? Or which sounds (consonants and/or vowels) are perceived as similar>
X_IHTYDKWOUB,English,0:39.2,the study is very good.,no 
X_USOZJQCKNP,English,0:8.8,I had no issues.,no
X_PAUOGDRHWC,English,0:19.8,worked fine no feedback,how people hear sounds
X_BZERFGTOHI,English,0:22.3,It was interesting. No issues. The reward should be higher for the time it takes.,I have no idea.
X_HSOJYVMPCZ,English,0:37.6,no complaints and issues  ,may be our memory 
X_YNBAOIZRUF,English,0:21.9,It was fun and interesting.,No not really.
X_AZEPSKHXGR,English,1:58.3,The URL in the HIT did not work.  I had to fix it manually.,Discrimination between similar sounding words as affected by accent and/or recording quality
X_TQVPAWKGNY,English,0:37.1,No issues,language perception
X_WBDYKIXFME,English,1:20.1,None Thank You.,When the sounds are very dissimilar a person tends to side with the gender match first.
X_QGYFCXHMLA,English,0:15.8,No issues. Very straightforward.,Not really no.
X_FVOMEJGDSN,English,1:34.8,I thought it was very straightforward. I had no problems and everything went really smoothly.,I think the study was to identify whether people can people up on subtle differences in sounds.
X_ADBVFQEMRU,English,0:43.1,No problems.,Something about regional dialects in languages like Arabic and how different pronunciations affect language acquisition.
X_FXGHWLMQCS,English,0:25.3,,How we perceive speech and if we can tell a difference.
X_QHAFLZPXYK,English,0:25.5,no,no
X_UQOBHMDJTV,English,0:3.7,,
X_QLTORFAUPY,English,0:28.0,It was okay,No
X_OIRVNFXPHD,English,2:35.5,good,the investigated in task
X_VHNXKCTPGY,English,1:24.8,No technical issues. I accidently typed 'F' when I meant 'J' (and vice versa) on a few occasions. ,Ability to discern similar sounds when spoken by different speakers???
X_CSKAOILVZG,English,0:33.9,EVERYTHING WENT SMOOTH.,MORAL ETHICS ISSUES IN FOREIGN LANGUAGES.
X_BYVADSQELN,English,0:14.9,no,nothing
X_LIWTCPQRJF,English,1:30.6,I got an attention check immediate after the break 2/3 of the way through which seemed odd. It was very fast loading except for the last 2 or 3 ones. ,No idea. I swear some of them were three different sounds and I just picked one. Also a few times I clicked too fast and know I picked the wrong one. 
X_DIGHMRZLPU,English,0:58.5,I had to switch from Chrome to Edge browser. The test URL would not load for some reason.,Testing my patience maybe?
X_ZKFOJCDRXE,English,0:51.1,No issues pay could be better,No idea how we interpret sounds from different people maybe.
X_DJFNIWOBUT,English,0:7.9,none,none
X_LBXVQRFACN,English,1:23.5,I had 2 maybe 3 files that did not play when I hit the space bar/clicked the play button and the only way to move forward was to select F or J,no
X_WHUJSAETKQ,English,0:8.2,None,Not sure
X_PLMNDAWFYX,English,1:22.9,No issues test was fine. Once in a while the next page did take la second or two to load but that was very few and far between.,I have no idea of there than similarity of sounds.
X_YJROLQXDZN,English,1:31.3,I did not have any technical issues. I found this task to be enjoyable with clear directions. ,Im not sure what the purpose of this study could be.
X_KWUNYTXGVO,English,0:4.9,gertbw,vgtrwbt
X_DFJRESILUO,English,0:55.9,Some were easy and some were hard. There were no technical issues.,I don't know.
X_PSHLVZIYUW,English,1:33.8,Survey about another language,No
X_GQNFBXPZSD,English,0:51.9,I thought the test was clear and went smoothly. I had no issues and have no complaints.,Maybe how people can identify certain sounds in a foreign language.
X_AXCNFTDGSM,English,1:7.8,I liked it! No technical issues of any kind.,I guess it's about how people differentiate between sounds in their own language compared to sounds from a foreign language.
X_VPMSCXUJAN,English,0:8.3,no,no
X_WJXGTNHBDP,English,1:17.7,I thought the test was interesting and fun. i didn't encounter any technical issues with the website. Overall I thought this was a fun little experiment.,If I had to guess whether or not people can tell the difference between two words that sound slightly different?
X_NZLPFAHTKB,English,1:44.0,It was a very repetitive experiment but it worked just fine. Easy and to the point.,If I could distinguish closely related sounds in a second language. 
X_NGJUQAXFZV,English,0:31.1,It has been a little long but everything ran smoothly,Perception of sounds?
X_XIDZHAEBFW,English,0:11.7,No.,No.
X_XYIRZHEACW,English,0:35.2,no issues.,How sounds seem similiar
X_XRMQCBJLNH,English,0:4.1,vbersrtw,rgtbdbtrt
X_FOIWTSZKLV,English,0:35.4,No issues or comments.,Maybe which sounds are likely to get confused more often.
X_OKXZDSJAYQ,English,1:23.7,I enjoyed the test. Some of the sounds were faster than others or louder/lighter than others. This was an interesting test. I did have a moment during the second attention check where I couldn't quite here the letter because at the same time a loud motorcycle was coming down my street so I tried my best to make it out.,I think you're testing if I can hear different pitches.
X_KITZECWFXJ,English,0:41.2,No issues or problems; all was clear and functional.,Significance of vowel vs constant sounds in perception of minimal pairs.
X_GBRZITDOWP,English,1:20.0,this test is very good,no
X_KGHYTJPVCI,English,0:28.5,i learn more things for this survey,sorry no idea
X_BRLCKYJPGD,English,0:17.4,Interesting! Have a nice day!,I can't really say but I'm certainly curious.
X_DYNUSICAFL,English,0:2.8,,
X_XAZWVSGYTC,English,0:40.1,Testing my hearing on certain words and sounds. No complaints.,Testing how people make judgement on words and sounds.
X_GWZSFPCMOA,English,1:10.8,I thought this test was kind of fun. I had no tech issues. no feedback at this time. No complaints.,Pronounciation for a translator app or something if I had to guess.
X_MRIPLFQBAU,French,1:31.3,"J'ai d'abord essayé d'y accéder avec opéra mais un message d'erreur s'est affiché. En voici la capture d'écran : https://i.imgur.com/5M32Szk.png - Il aurait pu être préférable de rendre possible un retour à la ""question"" précédente simplement en cas de touche pressé par accident.",Aucune idée.
X_KIXHYRSVPL,French,1:7.3,Rien à signaler,Peut être que vous étudiez les nuances que les francophones de langue maternelle peuvent percevoir 
X_JBROQLXDMA,French,1:2.9,Pas evident de ne pas pouvoir reecouter les extraits. Aucun probleme technique,Apprendre a une IA la perception de sons tres proches
X_BDZRXEFNCM,French,0:33.3,Aucun problème avec le site,La perception des sons en fonction de nptre langue maternelle ?
X_POABQMZXWN,French,0:39.7,Rien à signaler,la perception des sons 
X_PRDTFAXISN,French,2:8.4,intéressant. pas de problèmes ni de commentaires,la façon dont les personnes aperçoivent les phonèmes qui se ressemblent
X_XQCTPWHSUK,French,1:35.6,Aucun pb technique au niveau du navigateur.,peut-être la phonetique.
X_DHAFZPCJUS,French,3:29.9,Ca serait bien de pouvoir réécouter au moins une fois dans  cas où il y a un bruit fort autour qui est survenu au même moment. - Ca serait aussi bien de pouvoir se corriger quand on sait qu'on a fait une erreur... Par exemple le dernier ici je sais très bien que j'ai appuyé sur le mauvais bouton alors que je savais la réponse... J'imagine que c'est la fatigue... ça m'est arrivé alors.. Peut-être que ça rendrait le tout plus précis.  Plus de sons aussi ça serait super cool! ,
X_WXAJBQRYMC,French,2:0.7,Un peu répétitif mais la répétition permet de corriger les erreurs,les différentes sonorités de mots anglais qui semblent similaires à l'écoute (Madam/Mom water etc...)
X_ZRVDPUGTOQ,French,2:35.7,Il n'y avait pas ou peu d'espace entre les sons. - Le deuxième son était très dur à discerner,Voir a quel niveau l'accent/prononciation d'un mot affecte sa compréhension ?
X_LNFKZEOCWI,French,1:57.1,Rien à signaler. ,Perception/classification de phonèmes absents du Français par un locuteur francophone (ada vs. hada) ???
X_BPRVUJKCQT,French,2:57.8,Aucun problème rencontré tout s'est déroulé parfaitement.,Peut-être une étude sur la perception de syllabes étrangères à la langue française / anglaise ou encore la mise au point d'un assistant vocal les extraits audio étant des syllabes testées afin de mesurer leur perception et/ou compréhension
X_OKEMZWXNQR,French,0:5.4,,
X_GQMEJWBNDL,French,4:36.7,Simple et rapide. - Ne pas pouvoir réécouter les fichiers audios est par contre frustrant.,J'imagine que l'étude porte sur la reconnaissance audio pour aider les programmes de transcription auto.
X_OBJXCQPLYW,French,4:33.3,Intéressant dans le traitement des sons que l'on assimile à une langue que l'on connait ou qui nous semble familière ,reconnaissance vocale - un mot prononcé avec une voix grave ou aiguë peut sembler ne pas être le même mot. Traitement du son par le cerveau  
X_IHWDBECPRX,French,3:50.3,I didn't meet any problemns I noticed some were very easy to differentiate some were pretty close harder to choose - J'ai trouvé intéressant d'entendre à priori le même mot ou morceau de mot mais prononcé différemment!,Vous avez étudiez les accents de différentes régions! I guess you are checking wich accent is easier to recognize from a foreigner point of view (or point of ear) like scotish tend to be harder to understand than australian accent (just my two cent)
X_OKHRTMJQIA,French,2:9.1,Rien à signaler ,La perception phonetiques des syllabes.  - De quelle façonle cerveau rapproche differents sons. (Peut être)
X_SCJAFZPMUH,French,0:33.4,Les fichiers audios était étrange mais c'était une bonne expérience.,Aucune. Peut-être la façon dont on s'exprime versus la manière dont on est perçu.
X_XWITCBSHQM,French,2:28.9,IL EST BIEN ... Non je n'ai rencontré aucun problème ,non 
X_XLFMQBGSDA,French,0:47.1,aucun soucis test intéressant.,peut-être la façon dont les gens interprètent des sons aussi court 
X_OBUGMDWEJR,French,2:32.5,Très intéressant fonctionnait parfaitement.  - Il y a deux ou trois paires pour lesquelles j'aurais aimé pouvoir corriger ma réponse ; mais c'est peut-être justement la réponse spontanée qui vous intéresse. ,Vous avez testé des paires minimales de voyelles et de consonnes peut-être pour évaluer la capacité des francophones à distinguer certains sons plus facilement que d'autres (je sais que certains sons ont été difficiles à différencier pour moi par exemple). 
