subject_id,subject_language,18-29yrs,30-39yrs,40-49yrs,50-59yrs,60-69yrs,more_than_69yrs,handedness_L,handedness_R,lang_other_target_no,lang_other_target_yes,other_lang_na,other_lang_native,other_lang_bcpdexp,other_lang_assezdexp,other_lang_unpeudexp,other_lang_trespeudexp,other_lang_comp_na,other_lang_comp_native,other_lang_presque_native,other_lang_avancee,other_lang_intermediare,other_lang_debutant,hear_vis_problems_yes,hear_vis_problems_no,troubles_de_lang_yes,troubles_de_lang_no,ling_course_yes,ling_course_no,phonet_course_yes,phonet_course_no,phonog_course_yes,phonog_course_no
X_NYTPVFXZEQ,English,1,0,0,0,0,0,0,1,english,english,english,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,,
X_ZNQUEDTXJI,English,0,0,0,1,0,0,0,1,English,English,English,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,,
X_ARBOTMGNYE,English,1,0,0,0,0,0,0,1,English,English,English,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,,
X_QIKLSBVNJW,English,0,0,1,0,0,0,0,1,English,English,English,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,,
X_IHTYDKWOUB,English,1,0,0,0,0,0,1,0,1.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_USOZJQCKNP,English,0,1,0,0,0,0,0,1,1.0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_PAUOGDRHWC,English,0,1,0,0,0,0,1,0,1.0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_BZERFGTOHI,English,0,1,0,0,0,0,0,1,English,English,English,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,,
X_HSOJYVMPCZ,English,0,0,0,0,1,0,0,1,english ,english ,english ,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,
X_YNBAOIZRUF,English,0,0,1,0,0,0,0,1,1.0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
