_CORR_ANS,item_1,_tripletid,file_1,onset_1,offset_1,word_1,speaker_1,CV_1,context_1,phone_1,_target_other,CV_2,context_2,file_2,item_2,offset_2,onset_2,phone_2,speaker_2,word_2
A,amelia_consonants10,stimulus140_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,ewan84,NA,NA,NA,NA,NA
A,amelia_consonants10,stimulus140_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,ewan58,NA,NA,NA,NA,NA
A,amelia_consonants10,stimulus84_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,ewan76,NA,NA,NA,NA,NA
A,amelia_consonants10,stimulus84_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,ewan58,NA,NA,NA,NA,NA
A,amelia_consonants15,stimulus104_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,ewan70,NA,NA,NA,NA,NA
A,amelia_consonants15,stimulus104_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,ewan63,NA,NA,NA,NA,NA
A,amelia_consonants22,stimulus85_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,ewan55,NA,NA,NA,NA,NA
A,amelia_consonants22,stimulus85_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,ewan70,NA,NA,NA,NA,NA
A,amelia_consonants28,stimulus69_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,ewan90,NA,NA,NA,NA,NA
A,amelia_consonants28,stimulus69_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,ewan76,NA,NA,NA,NA,NA
A,amelia_consonants30,stimulus65_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,ewan55,NA,NA,NA,NA,NA
A,amelia_consonants30,stimulus65_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,ewan78,NA,NA,NA,NA,NA
A,amelia_consonants30,stimulus73_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,ewan87,NA,NA,NA,NA,NA
A,amelia_consonants30,stimulus73_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,ewan78,NA,NA,NA,NA,NA
A,amelia_consonants30,stimulus81_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,ewan63,NA,NA,NA,NA,NA
A,amelia_consonants30,stimulus81_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,ewan78,NA,NA,NA,NA,NA
A,amelia_consonants34,stimulus76_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,ewan76,NA,NA,NA,NA,NA
A,amelia_consonants34,stimulus76_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,ewan82,NA,NA,NA,NA,NA
A,amelia_consonants34,stimulus96_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,ewan68,NA,NA,NA,NA,NA
A,amelia_consonants34,stimulus96_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,ewan82,NA,NA,NA,NA,NA
A,amelia_consonants38,stimulus133_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,ewan103,NA,NA,NA,NA,NA
