orig_file,indexnumber,int_name,int_filename,speaker_interval,old_number,old_name
ewan,1,HADAH,ewan1,ewan_HADAH,1,ewan_HADAH1
ewan,2,HADAH,ewan2,ewan_HADAH,2,ewan_HADAH2
ewan,3,HADAH,ewan3,ewan_HADAH,3,ewan_HADAH3
ewan,4,HADAH,ewan4,ewan_HADAH,4,ewan_HADAH4
ewan,5,HADI,ewan5,ewan_HADI,1,ewan_HADI1
ewan,6,HADI,ewan6,ewan_HADI,2,ewan_HADI2
ewan,7,HADI,ewan7,ewan_HADI,3,ewan_HADI3
ewan,8,HADI,ewan8,ewan_HADI,4,ewan_HADI4
ewan,9,HAEDAH,ewan9,ewan_HAEDAH,1,ewan_HAEDAH1
ewan,10,HAEDAH,ewan10,ewan_HAEDAH,2,ewan_HAEDAH2
ewan,11,HAEDAH,ewan11,ewan_HAEDAH,3,ewan_HAEDAH3
ewan,12,HAEDAH,ewan12,ewan_HAEDAH,4,ewan_HAEDAH4
ewan,13,HAEDI,ewan13,ewan_HAEDI,1,ewan_HAEDI1
ewan,14,HAEDI,ewan14,ewan_HAEDI,2,ewan_HAEDI2
ewan,15,HAEDI,ewan15,ewan_HAEDI,3,ewan_HAEDI3
ewan,16,HAEDI,ewan16,ewan_HAEDI,4,ewan_HAEDI4
ewan,17,HEEDAH,ewan17,ewan_HEEDAH,1,ewan_HEEDAH1
ewan,18,HEEDAH,ewan18,ewan_HEEDAH,2,ewan_HEEDAH2
ewan,19,HEEDAH,ewan19,ewan_HEEDAH,3,ewan_HEEDAH3
ewan,20,HEEDAH,ewan20,ewan_HEEDAH,4,ewan_HEEDAH4
ewan,21,HEEDI,ewan21,ewan_HEEDI,1,ewan_HEEDI1
ewan,22,HEEDI,ewan22,ewan_HEEDI,2,ewan_HEEDI2
ewan,23,HEEDI,ewan23,ewan_HEEDI,3,ewan_HEEDI3
ewan,24,HEEDI,ewan24,ewan_HEEDI,4,ewan_HEEDI4
ewan,25,HUHDAH,ewan25,ewan_HUHDAH,1,ewan_HUHDAH1
ewan,26,HUHDAH,ewan26,ewan_HUHDAH,2,ewan_HUHDAH2
ewan,27,HUHDAH,ewan27,ewan_HUHDAH,3,ewan_HUHDAH3
ewan,28,HUHDAH,ewan28,ewan_HUHDAH,4,ewan_HUHDAH4
ewan,29,HUHDI,ewan29,ewan_HUHDI,1,ewan_HUHDI1
ewan,30,HUHDI,ewan30,ewan_HUHDI,2,ewan_HUHDI2
ewan,31,HUHDI,ewan31,ewan_HUHDI,3,ewan_HUHDI3
ewan,32,HUHDI,ewan32,ewan_HUHDI,4,ewan_HUHDI4
ewan,33,HOODAH,ewan33,ewan_HOODAH,1,ewan_HOODAH1
ewan,34,HOODAH,ewan34,ewan_HOODAH,2,ewan_HOODAH2
ewan,35,HOODAH,ewan35,ewan_HOODAH,3,ewan_HOODAH3
ewan,36,HOODAH,ewan36,ewan_HOODAH,4,ewan_HOODAH4
ewan,37,HOODI,ewan37,ewan_HOODI,1,ewan_HOODI1
ewan,38,HOODI,ewan38,ewan_HOODI,2,ewan_HOODI2
ewan,39,HOODI,ewan39,ewan_HOODI,3,ewan_HOODI3
ewan,40,HOODI,ewan40,ewan_HOODI,4,ewan_HOODI4
ewan,41,WHODAH,ewan41,ewan_WHODAH,1,ewan_WHODAH1
ewan,42,WHODAH,ewan42,ewan_WHODAH,2,ewan_WHODAH2
ewan,43,WHODAH,ewan43,ewan_WHODAH,3,ewan_WHODAH3
ewan,44,WHODAH,ewan44,ewan_WHODAH,4,ewan_WHODAH4
ewan,45,WHODI,ewan45,ewan_WHODI,1,ewan_WHODI1
ewan,46,WHODI,ewan46,ewan_WHODI,2,ewan_WHODI2
ewan,47,WHODI,ewan47,ewan_WHODI,3,ewan_WHODI3
ewan,48,WHODI,ewan48,ewan_WHODI,4,ewan_WHODI4
ewan,49,APAH,ewan49,ewan_APAH,1,ewan_APAH1
ewan,50,APAH,ewan50,ewan_APAH,2,ewan_APAH2
ewan,51,APAH,ewan51,ewan_APAH,3,ewan_APAH3
ewan,52,APAH,ewan52,ewan_APAH,4,ewan_APAH4
ewan,53,EEPEE,ewan53,ewan_EEPEE,1,ewan_EEPEE1
ewan,54,EEPEE,ewan54,ewan_EEPEE,2,ewan_EEPEE2
ewan,55,EEPEE,ewan55,ewan_EEPEE,3,ewan_EEPEE3
ewan,56,EEPEE,ewan56,ewan_EEPEE,4,ewan_EEPEE4
ewan,57,ATAH,ewan57,ewan_ATAH,1,ewan_ATAH1
ewan,58,ATAH,ewan58,ewan_ATAH,2,ewan_ATAH2
ewan,59,ATAH,ewan59,ewan_ATAH,3,ewan_ATAH3
ewan,60,ATAH,ewan60,ewan_ATAH,4,ewan_ATAH4
ewan,61,EETEE,ewan61,ewan_EETEE,1,ewan_EETEE1
ewan,62,EETEE,ewan62,ewan_EETEE,2,ewan_EETEE2
ewan,63,EETEE,ewan63,ewan_EETEE,3,ewan_EETEE3
ewan,64,EETEE,ewan64,ewan_EETEE,4,ewan_EETEE4
ewan,65,AKAH,ewan65,ewan_AKAH,1,ewan_AKAH1
ewan,66,AKAH,ewan66,ewan_AKAH,2,ewan_AKAH2
ewan,67,AKAH,ewan67,ewan_AKAH,3,ewan_AKAH3
ewan,68,AKAH,ewan68,ewan_AKAH,4,ewan_AKAH4
ewan,69,EEKEE,ewan69,ewan_EEKEE,1,ewan_EEKEE1
ewan,70,EEKEE,ewan70,ewan_EEKEE,2,ewan_EEKEE2
ewan,71,EEKEE,ewan71,ewan_EEKEE,3,ewan_EEKEE3
ewan,72,EEKEE,ewan72,ewan_EEKEE,4,ewan_EEKEE4
ewan,73,AFAH,ewan73,ewan_AFAH,1,ewan_AFAH1
ewan,74,AFAH,ewan74,ewan_AFAH,2,ewan_AFAH2
ewan,75,AFAH,ewan75,ewan_AFAH,3,ewan_AFAH3
ewan,76,AFAH,ewan76,ewan_AFAH,4,ewan_AFAH4
ewan,77,EEFEE,ewan77,ewan_EEFEE,1,ewan_EEFEE1
ewan,78,EEFEE,ewan78,ewan_EEFEE,2,ewan_EEFEE2
ewan,79,EEFEE,ewan79,ewan_EEFEE,3,ewan_EEFEE3
ewan,80,EEFEE,ewan80,ewan_EEFEE,4,ewan_EEFEE4
ewan,81,ASSAH,ewan81,ewan_ASSAH,1,ewan_ASSAH1
ewan,82,ASSAH,ewan82,ewan_ASSAH,2,ewan_ASSAH2
ewan,83,ASSAH,ewan83,ewan_ASSAH,3,ewan_ASSAH3
ewan,84,ASSAH,ewan84,ewan_ASSAH,4,ewan_ASSAH4
ewan,85,EESSEE,ewan85,ewan_EESSEE,1,ewan_EESSEE1
ewan,86,EESSEE,ewan86,ewan_EESSEE,2,ewan_EESSEE2
ewan,87,EESSEE,ewan87,ewan_EESSEE,3,ewan_EESSEE3
ewan,88,EESSEE,ewan88,ewan_EESSEE,4,ewan_EESSEE4
ewan,89,ASHAH,ewan89,ewan_ASHAH,1,ewan_ASHAH1
ewan,90,ASHAH,ewan90,ewan_ASHAH,2,ewan_ASHAH2
ewan,91,ASHAH,ewan91,ewan_ASHAH,3,ewan_ASHAH3
ewan,92,ASHAH,ewan92,ewan_ASHAH,4,ewan_ASHAH4
ewan,93,EESHEE,ewan93,ewan_EESHEE,1,ewan_EESHEE1
ewan,94,EESHEE,ewan94,ewan_EESHEE,2,ewan_EESHEE2
ewan,95,EESHEE,ewan95,ewan_EESHEE,3,ewan_EESHEE3
ewan,96,EESHEE,ewan96,ewan_EESHEE,4,ewan_EESHEE4
ewan,97,ATHAH,ewan97,ewan_ATHAH,1,ewan_ATHAH1
ewan,98,ATHAH,ewan98,ewan_ATHAH,2,ewan_ATHAH2
ewan,99,ATHAH,ewan99,ewan_ATHAH,3,ewan_ATHAH3
ewan,100,ATHAH,ewan100,ewan_ATHAH,4,ewan_ATHAH4
ewan,101,EETHEE,ewan101,ewan_EETHEE,1,ewan_EETHEE1
ewan,102,EETHEE,ewan102,ewan_EETHEE,2,ewan_EETHEE2
ewan,103,EETHEE,ewan103,ewan_EETHEE,3,ewan_EETHEE3
ewan,104,EETHEE,ewan104,ewan_EETHEE,4,ewan_EETHEE4
amelia_consonants,1,APAH,amelia_consonants1,amelia_consonants_APAH,1,amelia_APAH1
amelia_consonants,2,APAH,amelia_consonants2,amelia_consonants_APAH,2,amelia_APAH2
amelia_consonants,3,APAH,amelia_consonants3,amelia_consonants_APAH,3,amelia_APAH3
amelia_consonants,4,APAH,amelia_consonants4,amelia_consonants_APAH,4,amelia_APAH4
amelia_consonants,5,EEPEE,amelia_consonants5,amelia_consonants_EEPEE,1,amelia_EEPEE1
amelia_consonants,6,EEPEE,amelia_consonants6,amelia_consonants_EEPEE,2,amelia_EEPEE2
amelia_consonants,7,EEPEE,amelia_consonants7,amelia_consonants_EEPEE,3,amelia_EEPEE3
amelia_consonants,8,EEPEE,amelia_consonants8,amelia_consonants_EEPEE,4,amelia_EEPEE4
amelia_consonants,9,ATAH,amelia_consonants9,amelia_consonants_ATAH,1,amelia_ATAH1
amelia_consonants,10,ATAH,amelia_consonants10,amelia_consonants_ATAH,2,amelia_ATAH2
amelia_consonants,11,ATAH,amelia_consonants11,amelia_consonants_ATAH,3,amelia_ATAH3
amelia_consonants,12,ATAH,amelia_consonants12,amelia_consonants_ATAH,4,amelia_ATAH4
amelia_consonants,13,EETEE,amelia_consonants13,amelia_consonants_EETEE,1,amelia_EETEE1
amelia_consonants,14,EETEE,amelia_consonants14,amelia_consonants_EETEE,2,amelia_EETEE2
amelia_consonants,15,EETEE,amelia_consonants15,amelia_consonants_EETEE,3,amelia_EETEE3
amelia_consonants,16,EETEE,amelia_consonants16,amelia_consonants_EETEE,4,amelia_EETEE4
amelia_consonants,17,AKAH,amelia_consonants17,amelia_consonants_AKAH,1,amelia_AKAH1
amelia_consonants,18,AKAH,amelia_consonants18,amelia_consonants_AKAH,2,amelia_AKAH2
amelia_consonants,19,AKAH,amelia_consonants19,amelia_consonants_AKAH,3,amelia_AKAH3
amelia_consonants,20,AKAH,amelia_consonants20,amelia_consonants_AKAH,4,amelia_AKAH4
amelia_consonants,21,EEKEE,amelia_consonants21,amelia_consonants_EEKEE,1,amelia_EEKEE1
amelia_consonants,22,EEKEE,amelia_consonants22,amelia_consonants_EEKEE,2,amelia_EEKEE2
amelia_consonants,23,EEKEE,amelia_consonants23,amelia_consonants_EEKEE,3,amelia_EEKEE3
amelia_consonants,24,EEKEE,amelia_consonants24,amelia_consonants_EEKEE,4,amelia_EEKEE4
amelia_consonants,25,AFAH,amelia_consonants25,amelia_consonants_AFAH,1,amelia_AFAH1
amelia_consonants,26,AFAH,amelia_consonants26,amelia_consonants_AFAH,2,amelia_AFAH2
amelia_consonants,27,AFAH,amelia_consonants27,amelia_consonants_AFAH,3,amelia_AFAH3
amelia_consonants,28,AFAH,amelia_consonants28,amelia_consonants_AFAH,4,amelia_AFAH4
amelia_consonants,29,EEFEE,amelia_consonants29,amelia_consonants_EEFEE,1,amelia_EEFEE1
amelia_consonants,30,EEFEE,amelia_consonants30,amelia_consonants_EEFEE,2,amelia_EEFEE2
amelia_consonants,31,EEFEE,amelia_consonants31,amelia_consonants_EEFEE,3,amelia_EEFEE3
amelia_consonants,32,EEFEE,amelia_consonants32,amelia_consonants_EEFEE,4,amelia_EEFEE4
amelia_consonants,33,ASSAH,amelia_consonants33,amelia_consonants_ASSAH,1,amelia_ASSAH1
amelia_consonants,34,ASSAH,amelia_consonants34,amelia_consonants_ASSAH,2,amelia_ASSAH2
amelia_consonants,35,ASSAH,amelia_consonants35,amelia_consonants_ASSAH,3,amelia_ASSAH3
amelia_consonants,36,ASSAH,amelia_consonants36,amelia_consonants_ASSAH,4,amelia_ASSAH4
amelia_consonants,37,EESSEE,amelia_consonants37,amelia_consonants_EESSEE,1,amelia_EESSEE1
amelia_consonants,38,EESSEE,amelia_consonants38,amelia_consonants_EESSEE,2,amelia_EESSEE2
amelia_consonants,39,EESSEE,amelia_consonants39,amelia_consonants_EESSEE,3,amelia_EESSEE3
amelia_consonants,40,EESSEE,amelia_consonants40,amelia_consonants_EESSEE,4,amelia_EESSEE4
amelia_consonants,41,ASHAH,amelia_consonants41,amelia_consonants_ASHAH,1,amelia_ASHAH1
amelia_consonants,42,ASHAH,amelia_consonants42,amelia_consonants_ASHAH,2,amelia_ASHAH2
amelia_consonants,43,ASHAH,amelia_consonants43,amelia_consonants_ASHAH,3,amelia_ASHAH3
amelia_consonants,44,ASHAH,amelia_consonants44,amelia_consonants_ASHAH,4,amelia_ASHAH4
amelia_consonants,45,EESHEE,amelia_consonants45,amelia_consonants_EESHEE,1,amelia_EESHEE1
amelia_consonants,46,EESHEE,amelia_consonants46,amelia_consonants_EESHEE,2,amelia_EESHEE2
amelia_consonants,47,EESHEE,amelia_consonants47,amelia_consonants_EESHEE,3,amelia_EESHEE3
amelia_consonants,48,EESHEE,amelia_consonants48,amelia_consonants_EESHEE,4,amelia_EESHEE4
amelia_consonants,49,ATHAH,amelia_consonants49,amelia_consonants_ATHAH,1,amelia_ATHAH1
amelia_consonants,50,ATHAH,amelia_consonants50,amelia_consonants_ATHAH,2,amelia_ATHAH2
amelia_consonants,51,ATHAH,amelia_consonants51,amelia_consonants_ATHAH,3,amelia_ATHAH3
amelia_consonants,52,ATHAH,amelia_consonants52,amelia_consonants_ATHAH,4,amelia_ATHAH4
amelia_consonants,53,EETHEE,amelia_consonants53,amelia_consonants_EETHEE,1,amelia_EETHEE1
amelia_consonants,54,EETHEE,amelia_consonants54,amelia_consonants_EETHEE,2,amelia_EETHEE2
amelia_consonants,55,EETHEE,amelia_consonants55,amelia_consonants_EETHEE,3,amelia_EETHEE3
amelia_consonants,56,EETHEE,amelia_consonants56,amelia_consonants_EETHEE,4,amelia_EETHEE4
amelia_vowels,1,HADAH,amelia_vowels1,amelia_vowels_HADAH,1,amelia_HADAH1
amelia_vowels,2,HADAH,amelia_vowels2,amelia_vowels_HADAH,2,amelia_HADAH2
amelia_vowels,3,HADAH,amelia_vowels3,amelia_vowels_HADAH,3,amelia_HADAH3
amelia_vowels,4,HADAH,amelia_vowels4,amelia_vowels_HADAH,4,amelia_HADAH4
amelia_vowels,5,HADI,amelia_vowels5,amelia_vowels_HADI,1,amelia_HADI1
amelia_vowels,6,HADI,amelia_vowels6,amelia_vowels_HADI,2,amelia_HADI2
amelia_vowels,7,HADI,amelia_vowels7,amelia_vowels_HADI,3,amelia_HADI3
amelia_vowels,8,HADI,amelia_vowels8,amelia_vowels_HADI,4,amelia_HADI4
amelia_vowels,9,HAEDAH,amelia_vowels9,amelia_vowels_HAEDAH,1,amelia_HAEDAH1
amelia_vowels,10,HAEDAH,amelia_vowels10,amelia_vowels_HAEDAH,2,amelia_HAEDAH2
amelia_vowels,11,HAEDAH,amelia_vowels11,amelia_vowels_HAEDAH,3,amelia_HAEDAH3
amelia_vowels,12,HAEDAH,amelia_vowels12,amelia_vowels_HAEDAH,4,amelia_HAEDAH4
amelia_vowels,13,HAEDI,amelia_vowels13,amelia_vowels_HAEDI,1,amelia_HAEDI1
amelia_vowels,14,HAEDI,amelia_vowels14,amelia_vowels_HAEDI,2,amelia_HAEDI2
amelia_vowels,15,HAEDI,amelia_vowels15,amelia_vowels_HAEDI,3,amelia_HAEDI3
amelia_vowels,16,HAEDI,amelia_vowels16,amelia_vowels_HAEDI,4,amelia_HAEDI4
amelia_vowels,17,HEEDAH,amelia_vowels17,amelia_vowels_HEEDAH,1,amelia_HEEDAH1
amelia_vowels,18,HEEDAH,amelia_vowels18,amelia_vowels_HEEDAH,2,amelia_HEEDAH2
amelia_vowels,19,HEEDAH,amelia_vowels19,amelia_vowels_HEEDAH,3,amelia_HEEDAH3
amelia_vowels,20,HEEDAH,amelia_vowels20,amelia_vowels_HEEDAH,4,amelia_HEEDAH4
amelia_vowels,21,HEEDI,amelia_vowels21,amelia_vowels_HEEDI,1,amelia_HEEDI1
amelia_vowels,22,HEEDI,amelia_vowels22,amelia_vowels_HEEDI,2,amelia_HEEDI2
amelia_vowels,23,HEEDI,amelia_vowels23,amelia_vowels_HEEDI,3,amelia_HEEDI3
amelia_vowels,24,HEEDI,amelia_vowels24,amelia_vowels_HEEDI,4,amelia_HEEDI4
amelia_vowels,25,HUHDAH,amelia_vowels25,amelia_vowels_HUHDAH,1,amelia_HUHDAH1
amelia_vowels,26,HUHDAH,amelia_vowels26,amelia_vowels_HUHDAH,2,amelia_HUHDAH2
amelia_vowels,27,HUHDAH,amelia_vowels27,amelia_vowels_HUHDAH,3,amelia_HUHDAH3
amelia_vowels,28,HUHDAH,amelia_vowels28,amelia_vowels_HUHDAH,4,amelia_HUHDAH4
amelia_vowels,29,HUHDI,amelia_vowels29,amelia_vowels_HUHDI,1,amelia_HUHDI1
amelia_vowels,30,HUHDI,amelia_vowels30,amelia_vowels_HUHDI,2,amelia_HUHDI2
amelia_vowels,31,HUHDI,amelia_vowels31,amelia_vowels_HUHDI,3,amelia_HUHDI3
amelia_vowels,32,HUHDI,amelia_vowels32,amelia_vowels_HUHDI,4,amelia_HUHDI4
amelia_vowels,33,HOODAH,amelia_vowels33,amelia_vowels_HOODAH,1,amelia_HOODAH1
amelia_vowels,34,HOODAH,amelia_vowels34,amelia_vowels_HOODAH,2,amelia_HOODAH2
amelia_vowels,35,HOODAH,amelia_vowels35,amelia_vowels_HOODAH,3,amelia_HOODAH3
amelia_vowels,36,HOODAH,amelia_vowels36,amelia_vowels_HOODAH,4,amelia_HOODAH4
amelia_vowels,37,HOODI,amelia_vowels37,amelia_vowels_HOODI,1,amelia_HOODI1
amelia_vowels,38,HOODI,amelia_vowels38,amelia_vowels_HOODI,2,amelia_HOODI2
amelia_vowels,39,HOODI,amelia_vowels39,amelia_vowels_HOODI,3,amelia_HOODI3
amelia_vowels,40,HOODI,amelia_vowels40,amelia_vowels_HOODI,4,amelia_HOODI4
amelia_vowels,41,WHODAH,amelia_vowels41,amelia_vowels_WHODAH,1,amelia_WHODAH1
amelia_vowels,42,WHODAH,amelia_vowels42,amelia_vowels_WHODAH,2,amelia_WHODAH2
amelia_vowels,43,WHODAH,amelia_vowels43,amelia_vowels_WHODAH,3,amelia_WHODAH3
amelia_vowels,44,WHODAH,amelia_vowels44,amelia_vowels_WHODAH,4,amelia_WHODAH4
amelia_vowels,45,WHODI,amelia_vowels45,amelia_vowels_WHODI,1,amelia_WHODI1
amelia_vowels,46,WHODI,amelia_vowels46,amelia_vowels_WHODI,2,amelia_WHODI2
amelia_vowels,47,WHODI,amelia_vowels47,amelia_vowels_WHODI,3,amelia_WHODI3
amelia_vowels,48,WHODI,amelia_vowels48,amelia_vowels_WHODI,4,amelia_WHODI4
