subject_id,subject_language,trial_type,tripletid,S-order,A_Order,RT,order,first_sound,second_sound
X_PAUOGDRHWC,English,prot_catch_trial,stimulus49_A,orderSI=8,orderAI=8,0:10.8,8;,1.0,0.0
X_PAUOGDRHWC,English,prot_catch_trial,stimulus50_B,orderSI=9,orderAI=9,0:5.5,9;,1.0,0.0
X_PAUOGDRHWC,English,prot_catch_trial,stimulus100_A,orderSI=10,orderAI=10,0:4.2,10;,0.0,1.0
X_PAUOGDRHWC,English,prot_catch_trial,stimulus104_A,orderSI=11,orderAI=11,0:3.6,11;,0.0,1.0
X_PAUOGDRHWC,English,one_play_two_responses,stimulus96_A,orderSI=30,orderAI=14,0:5.1,14;,0.0,1.0
X_PAUOGDRHWC,English,one_play_two_responses,stimulus82_B,orderSI=44,orderAI=15,0:5.2,15;,1.0,0.0
X_PAUOGDRHWC,English,one_play_two_responses,stimulus92_A,orderSI=34,orderAI=16,0:4.2,16;,0.0,1.0
X_PAUOGDRHWC,English,one_play_two_responses,stimulus42_B,orderSI=52,orderAI=17,0:4.4,17;,1.0,0.0
X_PAUOGDRHWC,English,one_play_two_responses,stimulus95_B,orderSI=31,orderAI=18,0:4.3,18;,1.0,0.0
X_PAUOGDRHWC,English,one_play_two_responses,stimulus83_B,orderSI=43,orderAI=19,0:3.9,19;,1.0,0.0
X_PAUOGDRHWC,English,one_play_two_responses,stimulus131_B,orderSI=27,orderAI=20,0:4.6,20;,1.0,0.0
X_PAUOGDRHWC,English,one_play_two_responses,stimulus133_A,orderSI=25,orderAI=21,0:3.5,21;,0.0,1.0
X_PAUOGDRHWC,English,one_play_two_responses,stimulus136_A,orderSI=22,orderAI=22,0:4.1,22;,1.0,0.0
X_PAUOGDRHWC,English,one_play_two_responses,stimulus135_B,orderSI=23,orderAI=23,0:3.9,23;,1.0,0.0
X_PAUOGDRHWC,English,one_play_two_responses,stimulus46_B,orderSI=48,orderAI=24,0:4.0,24;,1.0,0.0
X_PAUOGDRHWC,English,one_play_two_responses,stimulus91_B,orderSI=35,orderAI=25,0:3.4,25;,1.0,0.0
X_PAUOGDRHWC,English,one_play_two_responses,stimulus88_A,orderSI=38,orderAI=26,0:3.6,26;,1.0,0.0
X_PAUOGDRHWC,English,one_play_two_responses,stimulus90_B,orderSI=36,orderAI=27,0:3.2,27;,1.0,0.0
X_PAUOGDRHWC,English,one_play_two_responses,stimulus35_B,orderSI=59,orderAI=28,0:5.2,28;,1.0,0.0
X_PAUOGDRHWC,English,one_play_two_responses,stimulus129_A,orderSI=29,orderAI=29,0:4.8,29;,0.0,1.0
X_PAUOGDRHWC,English,one_play_two_responses,stimulus143_B,orderSI=15,orderAI=30,0:5.0,30;,1.0,0.0
X_PAUOGDRHWC,English,one_play_two_responses,stimulus86_B,orderSI=40,orderAI=31,0:3.8,31;,1.0,0.0
X_PAUOGDRHWC,English,one_play_two_responses,stimulus140_A,orderSI=18,orderAI=32,0:3.6,32;,0.0,1.0
X_PAUOGDRHWC,English,one_play_two_responses,stimulus45_A,orderSI=49,orderAI=33,0:3.8,33;,0.0,1.0
X_PAUOGDRHWC,English,one_play_two_responses,stimulus130_B,orderSI=28,orderAI=34,0:3.5,34;,1.0,0.0
X_PAUOGDRHWC,English,one_play_two_responses,stimulus134_B,orderSI=24,orderAI=35,0:3.5,35;,1.0,0.0
X_PAUOGDRHWC,English,one_play_two_responses,stimulus36_A,orderSI=58,orderAI=36,0:4.1,36;,1.0,0.0
X_PAUOGDRHWC,English,one_play_two_responses,stimulus38_B,orderSI=56,orderAI=37,0:3.8,37;,0.0,1.0
X_PAUOGDRHWC,English,one_play_two_responses,stimulus40_A,orderSI=54,orderAI=38,0:4.1,38;,0.0,1.0
X_PAUOGDRHWC,English,one_play_two_responses,stimulus94_B,orderSI=32,orderAI=39,0:3.5,39;,0.0,1.0
X_PAUOGDRHWC,English,one_play_two_responses,stimulus84_A,orderSI=42,orderAI=40,0:3.4,40;,0.0,1.0
X_PAUOGDRHWC,English,one_play_two_responses,stimulus141_A,orderSI=17,orderAI=41,0:4.9,41;,0.0,1.0
X_PAUOGDRHWC,English,one_play_two_responses,stimulus37_A,orderSI=57,orderAI=42,0:4.4,42;,1.0,0.0
X_PAUOGDRHWC,English,one_play_two_responses,stimulus142_B,orderSI=16,orderAI=43,0:4.2,43;,0.0,1.0
X_PAUOGDRHWC,English,one_play_two_responses,stimulus34_B,orderSI=60,orderAI=44,0:4.1,44;,1.0,0.0
X_PAUOGDRHWC,English,one_play_two_responses,stimulus132_A,orderSI=26,orderAI=45,0:3.4,45;,0.0,1.0
X_PAUOGDRHWC,English,one_play_two_responses,attention_check_english_J_normalise,orderSI=62,orderAI=46,0:5.2,46;,0.0,1.0
X_PAUOGDRHWC,English,one_play_two_responses,stimulus48_A,orderSI=46,orderAI=47,0:4.3,47;,0.0,1.0
X_PAUOGDRHWC,English,one_play_two_responses,stimulus138_B,orderSI=20,orderAI=48,0:3.5,48;,1.0,0.0
X_PAUOGDRHWC,English,one_play_two_responses,stimulus93_A,orderSI=33,orderAI=49,0:3.5,49;,0.0,1.0
