"File1"	"Silence1"	"File2"	"Silence2"	"File3"	"CORR_ANS"	"filename"
"1"	"ewan_HADAH4"	"500ms_silence.wav"	"ewan_HAEDAH3"	"500ms_silence.wav"	"ewan_HAEDAH3"	"B"	"stimulus1"
"2"	"amelia_HAEDI2"	"500ms_silence.wav"	"amelia_HADI1"	"500ms_silence.wav"	"amelia_HADI1"	"B"	"stimulus2"
"3"	"ewan_HADI1"	"500ms_silence.wav"	"ewan_HAEDI2"	"500ms_silence.wav"	"ewan_HAEDI2"	"B"	"stimulus3"
"4"	"amelia_HAEDAH3"	"500ms_silence.wav"	"amelia_HAEDAH3"	"500ms_silence.wav"	"amelia_HAEDAH3"	"A"	"stimulus4"
"5"	"amelia_HADI1"	"500ms_silence.wav"	"amelia_HEEDI2"	"500ms_silence.wav"	"amelia_HEEDI2"	"B"	"stimulus5"
"6"	"ewan_HEEDAH3"	"500ms_silence.wav"	"ewan_HADAH4"	"500ms_silence.wav"	"ewan_HADAH4"	"B"	"stimulus6"
"7"	"ewan_HADAH4"	"500ms_silence.wav"	"ewan_HEEDAH3"	"500ms_silence.wav"	"ewan_HEEDAH3"	"B"	"stimulus7"
"8"	"amelia_HEEDI2"	"500ms_silence.wav"	"amelia_HEEDI2"	"500ms_silence.wav"	"amelia_HEEDI2"	"A"	"stimulus8"
"9"	"amelia_HADI1"	"500ms_silence.wav"	"amelia_HOODI2"	"500ms_silence.wav"	"amelia_HOODI2"	"B"	"stimulus9"
"10"	"ewan_HOODI2"	"500ms_silence.wav"	"ewan_HADI1"	"500ms_silence.wav"	"ewan_HADI1"	"B"	"stimulus10"
"11"	"ewan_HADAH4"	"500ms_silence.wav"	"ewan_HOODAH3"	"500ms_silence.wav"	"ewan_HOODAH3"	"B"	"stimulus11"
"12"	"amelia_HOODAH3"	"500ms_silence.wav"	"amelia_HOODAH3"	"500ms_silence.wav"	"amelia_HOODAH3"	"A"	"stimulus12"
"13"	"ewan_HADAH4"	"500ms_silence.wav"	"ewan_HUHDAH3"	"500ms_silence.wav"	"ewan_HUHDAH3"	"B"	"stimulus13"
"14"	"amelia_HUHDI2"	"500ms_silence.wav"	"amelia_HADI1"	"500ms_silence.wav"	"amelia_HADI1"	"B"	"stimulus14"
"15"	"ewan_HADAH4"	"500ms_silence.wav"	"ewan_HUHDAH3"	"500ms_silence.wav"	"ewan_HUHDAH3"	"B"	"stimulus15"
"16"	"amelia_HUHDI2"	"500ms_silence.wav"	"amelia_HUHDI2"	"500ms_silence.wav"	"amelia_HUHDI2"	"A"	"stimulus16"
"17"	"amelia_HADI1"	"500ms_silence.wav"	"amelia_WHODI2"	"500ms_silence.wav"	"amelia_WHODI2"	"B"	"stimulus17"
"18"	"ewan_WHODAH3"	"500ms_silence.wav"	"ewan_HADAH4"	"500ms_silence.wav"	"ewan_HADAH4"	"B"	"stimulus18"
"19"	"ewan_HADAH4"	"500ms_silence.wav"	"ewan_WHODAH3"	"500ms_silence.wav"	"ewan_WHODAH3"	"B"	"stimulus19"
"20"	"amelia_WHODI2"	"500ms_silence.wav"	"amelia_WHODI2"	"500ms_silence.wav"	"amelia_WHODI2"	"A"	"stimulus20"
"21"	"ewan_HAEDAH4"	"500ms_silence.wav"	"ewan_HEEDAH3"	"500ms_silence.wav"	"ewan_HEEDAH3"	"B"	"stimulus21"
"22"	"amelia_HEEDI2"	"500ms_silence.wav"	"amelia_HAEDI1"	"500ms_silence.wav"	"amelia_HAEDI1"	"B"	"stimulus22"
"23"	"amelia_HAEDI1"	"500ms_silence.wav"	"amelia_HEEDI2"	"500ms_silence.wav"	"amelia_HEEDI2"	"B"	"stimulus23"
