tripletid,distance_normed_filterbank__dtw_pathlength_OTH,distance_normed_filterbank__dtw_pathlength_TGT,distance_normed_filterbank__dtw_sum_OTH,distance_normed_filterbank__dtw_sum_TGT,distance_normed_mfcc__dtw_pathlength_OTH,distance_normed_mfcc__dtw_pathlength_TGT,distance_normed_mfcc__dtw_sum_OTH,distance_normed_mfcc__dtw_sum_TGT,distance_unnormed_filterbank__dtw_pathlength_OTH,distance_unnormed_filterbank__dtw_pathlength_TGT,distance_unnormed_filterbank__dtw_sum_OTH,distance_unnormed_filterbank__dtw_sum_TGT,distance_unnormed_mfcc__dtw_pathlength_OTH,distance_unnormed_mfcc__dtw_pathlength_TGT,distance_unnormed_mfcc__dtw_sum_OTH,distance_unnormed_mfcc__dtw_sum_TGT,CORR_ANS,item_TGT,item_OTH,item_X,file_TGT,onset_TGT,offset_TGT,word_TGT,speaker_TGT,CV_TGT,context_TGT,phone_TGT,file_OTH,onset_OTH,offset_OTH,word_OTH,speaker_OTH,CV_OTH,context_OTH,phone_OTH,file_X,onset_X,offset_X,word_X,speaker_X,CV_X,context_X,phone_X
stimulus1_A,4.48665682097521,4.95926823694916,381.365829782893,376.904386008136,4.18216844259386,4.24158644606135,338.755643850103,318.118983454601,16.7411771570846,18.4878260846476,1423.00005835219,1405.07478243322,10.8478066899872,11.2910784776832,900.36795526894,846.830885826241,A,amelia_vowels_5,amelia_vowels_15,ewan_8,amelia_vowels.wav,12.5659,13.30968,HADI,amelia,V,I,ɑ,amelia_vowels.wav,37.6934,38.4725,HAEDI,amelia,V,I,æ,ewan.wav,22.3965,23.01587,HADI,ewan,V,I,ɑ
stimulus2_B,5.12801473178368,4.02666354547166,471.777355324098,394.613027456223,5.1043679716747,4.08076040262413,479.810589337422,387.672238249292,18.9785579314019,15.2288894501391,1765.00588762038,1492.43116611363,12.4509096842319,10.939437399031,1245.09096842319,1039.24655290795,B,amelia_vowels_1,amelia_vowels_33,ewan_2,amelia_vowels.wav,2.19827,2.9625,HADAH,amelia,V,A,ɑ,amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ,ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ
stimulus3_A,5.43272349684222,4.31714265346246,380.290644778955,345.371412276997,4.28281040567113,3.46955165020869,299.796728396979,274.094580366487,19.2262555279917,15.629286450248,1365.06414248741,1250.34291601984,10.9452006313056,8.50808189583447,755.218843560083,663.630387875089,A,amelia_consonants_55,amelia_consonants_23,ewan_101,amelia_consonants.wav,145.1325,145.8925,EETHEE,amelia,C,I,θ,amelia_consonants.wav,61.4825,62.1525,EEKEE,amelia,C,I,k,ewan.wav,290.0925,290.7225,EETHEE,ewan,C,I,θ
stimulus4_A,4.05087911693847,4.11275680341429,263.307142601001,279.667462632172,3.67504210722373,3.42602549013817,227.852610647871,232.969733329395,13.9937774618886,14.7573219204716,909.59553502276,1003.49789059207,9.36995452846283,8.94944648578029,580.937180764696,608.56236103306,A,amelia_consonants_23,amelia_consonants_14,ewan_71,amelia_consonants.wav,61.4825,62.1525,EEKEE,amelia,C,I,k,amelia_consonants.wav,36.60264,37.21308,EETEE,amelia,C,I,t,ewan.wav,210.7425,211.2825,EEKEE,ewan,C,I,k
stimulus5_B,5.04148800770463,4.55842086703049,342.821184523915,305.414198091043,5.12711982352917,3.94648174249628,328.135668705867,260.467795004755,18.2543975596197,16.6591845234018,1241.29903405414,1116.16536306792,12.2177431533519,10.0808408445777,830.806534427931,645.173814052974,B,ewan_68,ewan_59,amelia_consonants_20,ewan.wav,201.2425,201.7625,AKAH,ewan,C,A,k,ewan.wav,177.0325,177.5625,ATAH,ewan,C,A,t,amelia_consonants.wav,53.0271,53.6525,AKAH,amelia,C,A,k
stimulus6_B,5.04148800770463,4.42071027583906,342.821184523915,282.9254576537,5.12711982352917,4.72243690618866,328.135668705867,302.235961996074,18.2543975596197,16.2997904124523,1241.29903405414,1059.4863768094,12.2177431533519,11.3545630419892,830.806534427931,726.692034687311,B,amelia_consonants_9,amelia_consonants_20,ewan_59,amelia_consonants.wav,23.47667,24.1025,ATAH,amelia,C,A,t,amelia_consonants.wav,53.0271,53.6525,AKAH,amelia,C,A,k,ewan.wav,177.0325,177.5625,ATAH,ewan,C,A,t
stimulus7_A,4.05087911693847,4.24711337410044,263.307142601001,263.321029194227,3.67504210722373,3.61245892738264,227.852610647871,223.972453497724,13.9937774618886,15.0833644641105,909.59553502276,935.168596774853,9.36995452846283,8.94739780661442,580.937180764696,554.738664010094,A,ewan_62,ewan_71,amelia_consonants_14,ewan.wav,185.2225,185.7725,EETEE,ewan,C,I,t,ewan.wav,210.7425,211.2825,EEKEE,ewan,C,I,k,amelia_consonants.wav,36.60264,37.21308,EETEE,amelia,C,I,t
stimulus8_A,5.33902398008609,4.48806656717853,411.104846466629,287.236260299426,4.18057516625406,4.06553726026763,313.543137469054,256.128847396861,18.3959465186104,16.7378153277514,1398.09193541439,1037.74455032059,12.0292812984254,9.9461131381046,902.196097381908,636.551240838694,A,amelia_consonants_7,amelia_consonants_46,ewan_56,amelia_consonants.wav,17.98056,18.54394,EEPEE,amelia,C,I,p,amelia_consonants.wav,121.8625,122.6025,EESHEE,amelia,C,I,ʃ,ewan.wav,168.7025,169.3025,EEPEE,ewan,C,I,p
stimulus9_B,5.32824572781292,4.01669947148956,346.33597230784,265.102165118311,4.36203269427748,4.8822503414671,279.170092433759,307.581771512427,18.8862561213988,14.8083061718698,1227.60664789092,977.348207343409,12.2027046052636,10.7972105135754,817.581208552663,712.615893895977,B,ewan_50,ewan_92,amelia_consonants_3,ewan.wav,152.8525,153.4425,APAH,ewan,C,A,p,ewan.wav,266.7625,267.2825,ASHAH,ewan,C,A,ʃ,amelia_consonants.wav,7.31359,7.93251,APAH,amelia,C,A,p
stimulus10_B,5.33902398008609,4.14474670545948,411.104846466629,319.14549632038,4.18057516625406,3.22669150398718,313.543137469054,242.001862799038,18.3959465186104,14.5940028095793,1398.09193541439,1123.73821633761,12.0292812984254,7.48461333335758,902.196097381908,568.830613335176,B,ewan_96,ewan_56,amelia_consonants_46,ewan.wav,276.7625,277.3325,EESHEE,ewan,C,I,ʃ,ewan.wav,168.7025,169.3025,EEPEE,ewan,C,I,p,amelia_consonants.wav,121.8625,122.6025,EESHEE,amelia,C,I,ʃ
