orig_file,indexnumber,int_name,int_filename
stimuli/raw/amelia_consonants.wav,1,APAH,amelia_consonants_1
stimuli/raw/amelia_consonants.wav,2,APAH,amelia_consonants_2
stimuli/raw/amelia_consonants.wav,3,APAH,amelia_consonants_3
stimuli/raw/amelia_consonants.wav,4,APAH,amelia_consonants_4
stimuli/raw/amelia_consonants.wav,5,EEPEE,amelia_consonants_5
stimuli/raw/amelia_consonants.wav,6,EEPEE,amelia_consonants_6
stimuli/raw/amelia_consonants.wav,7,EEPEE,amelia_consonants_7
stimuli/raw/amelia_consonants.wav,8,EEPEE,amelia_consonants_8
stimuli/raw/amelia_consonants.wav,9,ATAH,amelia_consonants_9
stimuli/raw/amelia_consonants.wav,10,ATAH,amelia_consonants_10
stimuli/raw/amelia_consonants.wav,11,ATAH,amelia_consonants_11
stimuli/raw/amelia_consonants.wav,12,ATAH,amelia_consonants_12
stimuli/raw/amelia_consonants.wav,13,EETEE,amelia_consonants_13
stimuli/raw/amelia_consonants.wav,14,EETEE,amelia_consonants_14
stimuli/raw/amelia_consonants.wav,15,EETEE,amelia_consonants_15
stimuli/raw/amelia_consonants.wav,16,EETEE,amelia_consonants_16
stimuli/raw/amelia_consonants.wav,17,AKAH,amelia_consonants_17
stimuli/raw/amelia_consonants.wav,18,AKAH,amelia_consonants_18
stimuli/raw/amelia_consonants.wav,19,AKAH,amelia_consonants_19
stimuli/raw/amelia_consonants.wav,20,AKAH,amelia_consonants_20
stimuli/raw/amelia_consonants.wav,21,EEKEE,amelia_consonants_21
stimuli/raw/amelia_consonants.wav,22,EEKEE,amelia_consonants_22
stimuli/raw/amelia_consonants.wav,23,EEKEE,amelia_consonants_23
stimuli/raw/amelia_consonants.wav,24,EEKEE,amelia_consonants_24
stimuli/raw/amelia_consonants.wav,25,AFAH,amelia_consonants_25
stimuli/raw/amelia_consonants.wav,26,AFAH,amelia_consonants_26
stimuli/raw/amelia_consonants.wav,27,AFAH,amelia_consonants_27
stimuli/raw/amelia_consonants.wav,28,AFAH,amelia_consonants_28
stimuli/raw/amelia_consonants.wav,29,EEFEE,amelia_consonants_29
stimuli/raw/amelia_consonants.wav,30,EEFEE,amelia_consonants_30
stimuli/raw/amelia_consonants.wav,31,EEFEE,amelia_consonants_31
stimuli/raw/amelia_consonants.wav,32,EEFEE,amelia_consonants_32
stimuli/raw/amelia_consonants.wav,33,ASSAH,amelia_consonants_33
stimuli/raw/amelia_consonants.wav,34,ASSAH,amelia_consonants_34
stimuli/raw/amelia_consonants.wav,35,ASSAH,amelia_consonants_35
stimuli/raw/amelia_consonants.wav,36,ASSAH,amelia_consonants_36
stimuli/raw/amelia_consonants.wav,37,EESSEE,amelia_consonants_37
stimuli/raw/amelia_consonants.wav,38,EESSEE,amelia_consonants_38
stimuli/raw/amelia_consonants.wav,39,EESSEE,amelia_consonants_39
stimuli/raw/amelia_consonants.wav,40,EESSEE,amelia_consonants_40
stimuli/raw/amelia_consonants.wav,41,ASHAH,amelia_consonants_41
stimuli/raw/amelia_consonants.wav,42,ASHAH,amelia_consonants_42
stimuli/raw/amelia_consonants.wav,43,ASHAH,amelia_consonants_43
stimuli/raw/amelia_consonants.wav,44,ASHAH,amelia_consonants_44
stimuli/raw/amelia_consonants.wav,45,EESHEE,amelia_consonants_45
stimuli/raw/amelia_consonants.wav,46,EESHEE,amelia_consonants_46
stimuli/raw/amelia_consonants.wav,47,EESHEE,amelia_consonants_47
stimuli/raw/amelia_consonants.wav,48,EESHEE,amelia_consonants_48
stimuli/raw/amelia_consonants.wav,49,ATHAH,amelia_consonants_49
stimuli/raw/amelia_consonants.wav,50,ATHAH,amelia_consonants_50
stimuli/raw/amelia_consonants.wav,51,ATHAH,amelia_consonants_51
stimuli/raw/amelia_consonants.wav,52,ATHAH,amelia_consonants_52
stimuli/raw/amelia_consonants.wav,53,EETHEE,amelia_consonants_53
stimuli/raw/amelia_consonants.wav,54,EETHEE,amelia_consonants_54
stimuli/raw/amelia_consonants.wav,55,EETHEE,amelia_consonants_55
stimuli/raw/amelia_consonants.wav,56,EETHEE,amelia_consonants_56
