File1	Silence1	File2	Silence2	File3	CORR_ANS	filename
ewan_HADAH4.wav	500ms_silence.wav	ewan_HAEDAH2.wav	500ms_silence.wav	ewan_HAEDAH2.wav	B	stimulus1
amelia_HAEDI1.wav	500ms_silence.wav	amelia_HADI1.wav	500ms_silence.wav	amelia_HADI1.wav	B	stimulus2
ewan_HADI1.wav	500ms_silence.wav	ewan_HAEDI1.wav	500ms_silence.wav	ewan_HAEDI1.wav	B	stimulus3
amelia_HAEDAH2.wav	500ms_silence.wav	amelia_HAEDAH2.wav	500ms_silence.wav	amelia_HAEDAH2.wav	A	stimulus4
amelia_HADI1.wav	500ms_silence.wav	amelia_HEEDI1.wav	500ms_silence.wav	amelia_HEEDI1.wav	B	stimulus5
ewan_HEEDAH2.wav	500ms_silence.wav	ewan_HADAH4.wav	500ms_silence.wav	ewan_HADAH4.wav	B	stimulus6
ewan_HADAH4.wav	500ms_silence.wav	ewan_HEEDAH2.wav	500ms_silence.wav	ewan_HEEDAH2.wav	B	stimulus7
amelia_HEEDI1.wav	500ms_silence.wav	amelia_HEEDI1.wav	500ms_silence.wav	amelia_HEEDI1.wav	A	stimulus8
amelia_HADI1.wav	500ms_silence.wav	amelia_HOODI1.wav	500ms_silence.wav	amelia_HOODI1.wav	B	stimulus9
ewan_HOODI1.wav	500ms_silence.wav	ewan_HADI1.wav	500ms_silence.wav	ewan_HADI1.wav	B	stimulus10
ewan_HADAH4.wav	500ms_silence.wav	ewan_HOODAH2.wav	500ms_silence.wav	ewan_HOODAH2.wav	B	stimulus11
amelia_HOODAH2.wav	500ms_silence.wav	amelia_HOODAH2.wav	500ms_silence.wav	amelia_HOODAH2.wav	A	stimulus12
ewan_HADAH4.wav	500ms_silence.wav	ewan_HUHDAH2.wav	500ms_silence.wav	ewan_HUHDAH2.wav	B	stimulus13
amelia_HUHDI1.wav	500ms_silence.wav	amelia_HADI1.wav	500ms_silence.wav	amelia_HADI1.wav	B	stimulus14
ewan_HADAH4.wav	500ms_silence.wav	ewan_HUHDAH2.wav	500ms_silence.wav	ewan_HUHDAH2.wav	B	stimulus15
amelia_HUHDI1.wav	500ms_silence.wav	amelia_HUHDI1.wav	500ms_silence.wav	amelia_HUHDI1.wav	A	stimulus16
amelia_HADI1.wav	500ms_silence.wav	amelia_WHODI1.wav	500ms_silence.wav	amelia_WHODI1.wav	B	stimulus17
ewan_WHODAH2.wav	500ms_silence.wav	ewan_HADAH4.wav	500ms_silence.wav	ewan_HADAH4.wav	B	stimulus18
ewan_HADAH4.wav	500ms_silence.wav	ewan_WHODAH2.wav	500ms_silence.wav	ewan_WHODAH2.wav	B	stimulus19
amelia_WHODI1.wav	500ms_silence.wav	amelia_WHODI1.wav	500ms_silence.wav	amelia_WHODI1.wav	A	stimulus20
ewan_HAEDAH4.wav	500ms_silence.wav	ewan_HEEDAH2.wav	500ms_silence.wav	ewan_HEEDAH2.wav	B	stimulus21
amelia_HEEDI1.wav	500ms_silence.wav	amelia_HAEDI1.wav	500ms_silence.wav	amelia_HAEDI1.wav	B	stimulus22
amelia_HAEDI1.wav	500ms_silence.wav	amelia_HEEDI1.wav	500ms_silence.wav	amelia_HEEDI1.wav	B	stimulus23
ewan_HEEDAH2.wav	500ms_silence.wav	ewan_HEEDAH2.wav	500ms_silence.wav	ewan_HEEDAH2.wav	A	stimulus24
ewan_HAEDI1.wav	500ms_silence.wav	ewan_HOODI1.wav	500ms_silence.wav	ewan_HOODI1.wav	B	stimulus25
amelia_HOODI1.wav	500ms_silence.wav	amelia_HAEDI1.wav	500ms_silence.wav	amelia_HAEDI1.wav	B	stimulus26
amelia_HAEDAH4.wav	500ms_silence.wav	amelia_HOODAH2.wav	500ms_silence.wav	amelia_HOODAH2.wav	B	stimulus27
ewan_HOODAH2.wav	500ms_silence.wav	ewan_HOODAH2.wav	500ms_silence.wav	ewan_HOODAH2.wav	A	stimulus28
amelia_HAEDAH4.wav	500ms_silence.wav	amelia_HUHDAH2.wav	500ms_silence.wav	amelia_HUHDAH2.wav	B	stimulus29
ewan_HUHDI1.wav	500ms_silence.wav	ewan_HAEDI1.wav	500ms_silence.wav	ewan_HAEDI1.wav	B	stimulus30
ewan_HAEDI1.wav	500ms_silence.wav	ewan_HUHDI1.wav	500ms_silence.wav	ewan_HUHDI1.wav	B	stimulus31
amelia_HUHDAH2.wav	500ms_silence.wav	amelia_HUHDAH2.wav	500ms_silence.wav	amelia_HUHDAH2.wav	A	stimulus32
ewan_HAEDAH4.wav	500ms_silence.wav	ewan_WHODAH2.wav	500ms_silence.wav	ewan_WHODAH2.wav	B	stimulus33
