CORR_ANS,item_TGT,item_OTH,item_X,tripletid,file_TGT,onset_TGT,offset_TGT,word_TGT,speaker_TGT,CV_TGT,context_TGT,phone_TGT,file_OTH,onset_OTH,offset_OTH,word_OTH,speaker_OTH,CV_OTH,context_OTH,phone_OTH,file_X,onset_X,offset_X,word_X,speaker_X,CV_X,context_X,phone_X
A,amelia_vowels_6,amelia_vowels_13,ewan_6,stimulus1_A,amelia_vowels.wav,14.8025,15.5725,HADI,amelia,V,I,ɑ,amelia_vowels.wav,33.58525,34.29433,HAEDI,amelia,V,I,æ,ewan.wav,17.36061,18.1025,HADI,ewan,V,I,ɑ
B,amelia_vowels_2,amelia_vowels_9,ewan_2,stimulus2_B,amelia_vowels.wav,4.61383,5.3325,HADAH,amelia,V,A,ɑ,amelia_vowels.wav,23.06915,23.8525,HAEDAH,amelia,V,A,æ,ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ
B,ewan_9,ewan_2,amelia_vowels_9,stimulus3_B,ewan.wav,26.1325,26.8525,HAEDAH,ewan,V,A,æ,ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ,amelia_vowels.wav,23.06915,23.8525,HAEDAH,amelia,V,A,æ
A,ewan_13,ewan_6,amelia_vowels_13,stimulus4_A,ewan.wav,37.7225,38.4325,HAEDI,ewan,V,I,æ,ewan.wav,17.36061,18.1025,HADI,ewan,V,I,ɑ,amelia_vowels.wav,33.58525,34.29433,HAEDI,amelia,V,I,æ
A,amelia_vowels_2,amelia_vowels_17,ewan_2,stimulus5_A,amelia_vowels.wav,4.61383,5.3325,HADAH,amelia,V,A,ɑ,amelia_vowels.wav,44.25247,45.0725,HEEDAH,amelia,V,A,i,ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ
B,ewan_6,ewan_21,amelia_vowels_6,stimulus6_B,ewan.wav,17.36061,18.1025,HADI,ewan,V,I,ɑ,ewan.wav,60.9271,61.7525,HEEDI,ewan,V,I,i,amelia_vowels.wav,14.8025,15.5725,HADI,amelia,V,I,ɑ
B,ewan_17,ewan_2,amelia_vowels_17,stimulus7_B,ewan.wav,49.0225,49.8125,HEEDAH,ewan,V,A,i,ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ,amelia_vowels.wav,44.25247,45.0725,HEEDAH,amelia,V,A,i
A,amelia_vowels_21,amelia_vowels_6,ewan_21,stimulus8_A,amelia_vowels.wav,55.37294,56.1625,HEEDI,amelia,V,I,i,amelia_vowels.wav,14.8025,15.5725,HADI,amelia,V,I,ɑ,ewan.wav,60.9271,61.7525,HEEDI,ewan,V,I,i
A,ewan_6,ewan_37,amelia_vowels_6,stimulus9_A,ewan.wav,17.36061,18.1025,HADI,ewan,V,I,ɑ,ewan.wav,109.0925,109.8025,HOODI,ewan,V,I,ʊ,amelia_vowels.wav,14.8025,15.5725,HADI,amelia,V,I,ɑ
B,amelia_vowels_2,amelia_vowels_33,ewan_2,stimulus10_B,amelia_vowels.wav,4.61383,5.3325,HADAH,amelia,V,A,ɑ,amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ,ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ
