File1,File2,File3,CORR_ANS,filename
amelia_vowels_5,amelia_vowels_15,ewan_8,A,stimulus1
amelia_vowels_33,amelia_vowels_1,ewan_2,B,stimulus2
amelia_consonants_55,amelia_consonants_23,ewan_101,A,stimulus3
amelia_consonants_23,amelia_consonants_14,ewan_71,A,stimulus4
ewan_59,ewan_68,amelia_consonants_20,B,stimulus5
amelia_consonants_20,amelia_consonants_9,ewan_59,B,stimulus6
ewan_62,ewan_71,amelia_consonants_14,A,stimulus7
amelia_consonants_7,amelia_consonants_46,ewan_56,A,stimulus8
ewan_92,ewan_50,amelia_consonants_3,B,stimulus9
ewan_56,ewan_96,amelia_consonants_46,B,stimulus10
amelia_consonants_42,amelia_consonants_3,ewan_92,A,stimulus11
ewan_50,ewan_83,amelia_consonants_3,A,stimulus12
ewan_2,ewan_34,amelia_vowels_33,B,stimulus13
ewan_87,ewan_56,amelia_consonants_7,B,stimulus14
amelia_consonants_3,amelia_consonants_34,ewan_83,B,stimulus15
amelia_consonants_38,amelia_consonants_7,ewan_87,A,stimulus16
amelia_consonants_3,amelia_consonants_49,ewan_50,A,stimulus17
amelia_consonants_55,amelia_consonants_7,ewan_56,B,stimulus18
ewan_56,ewan_101,amelia_consonants_55,B,stimulus19
ewan_97,ewan_50,amelia_consonants_49,A,stimulus20
ewan_56,ewan_62,amelia_consonants_7,A,stimulus21
amelia_consonants_14,amelia_consonants_7,ewan_56,B,stimulus22
ewan_50,ewan_59,amelia_consonants_9,B,stimulus23
amelia_vowels_39,amelia_vowels_5,ewan_37,A,stimulus24
amelia_consonants_9,amelia_consonants_3,ewan_59,A,stimulus25
amelia_consonants_46,amelia_consonants_38,ewan_96,A,stimulus26
ewan_83,ewan_92,amelia_consonants_42,B,stimulus27
ewan_96,ewan_87,amelia_consonants_38,B,stimulus28
amelia_consonants_34,amelia_consonants_42,ewan_83,A,stimulus29
amelia_consonants_42,amelia_consonants_49,ewan_92,A,stimulus30
ewan_101,ewan_96,amelia_consonants_46,B,stimulus31
ewan_92,ewan_97,amelia_consonants_49,B,stimulus32
amelia_consonants_55,amelia_consonants_46,ewan_101,A,stimulus33
ewan_96,ewan_62,amelia_consonants_46,A,stimulus34
amelia_vowels_1,amelia_vowels_25,ewan_2,A,stimulus35
amelia_consonants_9,amelia_consonants_42,ewan_92,B,stimulus36
ewan_92,ewan_59,amelia_consonants_9,B,stimulus37
amelia_consonants_14,amelia_consonants_46,ewan_62,A,stimulus38
ewan_87,ewan_101,amelia_consonants_38,A,stimulus39
ewan_97,ewan_83,amelia_consonants_34,B,stimulus40
amelia_consonants_38,amelia_consonants_55,ewan_101,B,stimulus41
amelia_consonants_49,amelia_consonants_34,ewan_97,A,stimulus42
amelia_consonants_34,amelia_consonants_9,ewan_83,A,stimulus43
ewan_62,ewan_87,amelia_consonants_38,B,stimulus44
amelia_consonants_38,amelia_consonants_14,ewan_62,B,stimulus45
ewan_29,ewan_8,amelia_vowels_5,B,stimulus46
ewan_59,ewan_83,amelia_consonants_9,A,stimulus47
amelia_consonants_55,amelia_consonants_14,ewan_101,A,stimulus48
ewan_62,ewan_101,amelia_consonants_55,B,stimulus49
ewan_97,ewan_59,amelia_consonants_9,B,stimulus50
amelia_consonants_9,amelia_consonants_49,ewan_59,A,stimulus51
amelia_vowels_5,amelia_vowels_30,ewan_29,B,stimulus52
ewan_28,ewan_2,amelia_vowels_25,A,stimulus53
ewan_8,ewan_46,amelia_vowels_5,A,stimulus54
amelia_vowels_41,amelia_vowels_1,ewan_2,B,stimulus55
ewan_2,ewan_43,amelia_vowels_41,B,stimulus56
amelia_vowels_11,amelia_vowels_1,ewan_2,B,stimulus57
amelia_vowels_48,amelia_vowels_5,ewan_46,A,stimulus58
ewan_10,ewan_19,amelia_vowels_11,A,stimulus59
ewan_21,ewan_14,amelia_vowels_15,B,stimulus60
amelia_vowels_15,amelia_vowels_22,ewan_21,B,stimulus61
amelia_vowels_17,amelia_vowels_11,ewan_19,A,stimulus62
amelia_vowels_11,amelia_vowels_33,ewan_10,A,stimulus63
amelia_vowels_39,amelia_vowels_15,ewan_14,B,stimulus64
ewan_14,ewan_37,amelia_vowels_39,B,stimulus65
ewan_34,ewan_10,amelia_vowels_33,A,stimulus66
ewan_10,ewan_28,amelia_vowels_11,A,stimulus67
ewan_2,ewan_10,amelia_vowels_11,B,stimulus68
amelia_vowels_25,amelia_vowels_11,ewan_10,B,stimulus69
amelia_vowels_15,amelia_vowels_30,ewan_29,B,stimulus70
ewan_29,ewan_14,amelia_vowels_30,A,stimulus71
amelia_vowels_11,amelia_vowels_41,ewan_10,A,stimulus72
amelia_vowels_48,amelia_vowels_15,ewan_14,B,stimulus73
ewan_14,ewan_46,amelia_vowels_48,B,stimulus74
ewan_43,ewan_10,amelia_vowels_41,A,stimulus75
ewan_21,ewan_37,amelia_vowels_22,A,stimulus76
amelia_vowels_39,amelia_vowels_22,ewan_21,B,stimulus77
ewan_19,ewan_34,amelia_vowels_33,B,stimulus78
ewan_14,ewan_8,amelia_vowels_15,A,stimulus79
amelia_vowels_33,amelia_vowels_17,ewan_34,A,stimulus80
ewan_21,ewan_29,amelia_vowels_22,A,stimulus81
amelia_vowels_30,amelia_vowels_22,ewan_21,B,stimulus82
amelia_vowels_17,amelia_vowels_25,ewan_28,B,stimulus83
ewan_28,ewan_19,amelia_vowels_25,A,stimulus84
ewan_19,ewan_43,amelia_vowels_17,A,stimulus85
amelia_vowels_41,amelia_vowels_17,ewan_19,B,stimulus86
amelia_vowels_22,amelia_vowels_48,ewan_46,B,stimulus87
ewan_46,ewan_21,amelia_vowels_48,A,stimulus88
amelia_vowels_33,amelia_vowels_25,ewan_34,A,stimulus89
amelia_vowels_1,amelia_vowels_17,ewan_2,A,stimulus90
ewan_29,ewan_37,amelia_vowels_39,B,stimulus91
amelia_vowels_39,amelia_vowels_30,ewan_29,B,stimulus92
ewan_28,ewan_34,amelia_vowels_25,A,stimulus93
ewan_34,ewan_43,amelia_vowels_33,A,stimulus94
amelia_vowels_41,amelia_vowels_33,ewan_34,B,stimulus95
amelia_vowels_39,amelia_vowels_48,ewan_46,B,stimulus96
ewan_46,ewan_37,amelia_vowels_48,A,stimulus97
