File1	Silence1	File2	Silence2	File3	CORR_ANS	filename
amelia_vowels6	500ms_silence	amelia_vowels13	500ms_silence	ewan6	A	stimulus1_A
amelia_vowels9	500ms_silence	amelia_vowels2	500ms_silence	ewan2	B	stimulus2_B
ewan2	500ms_silence	ewan9	500ms_silence	amelia_vowels9	B	stimulus3_B
ewan13	500ms_silence	ewan6	500ms_silence	amelia_vowels13	A	stimulus4_A
amelia_vowels2	500ms_silence	amelia_vowels17	500ms_silence	ewan2	A	stimulus5_A
ewan21	500ms_silence	ewan6	500ms_silence	amelia_vowels6	B	stimulus6_B
ewan2	500ms_silence	ewan17	500ms_silence	amelia_vowels17	B	stimulus7_B
amelia_vowels21	500ms_silence	amelia_vowels6	500ms_silence	ewan21	A	stimulus8_A
ewan6	500ms_silence	ewan37	500ms_silence	amelia_vowels6	A	stimulus9_A
amelia_vowels33	500ms_silence	amelia_vowels2	500ms_silence	ewan2	B	stimulus10_B
ewan2	500ms_silence	ewan33	500ms_silence	amelia_vowels33	B	stimulus11_B
amelia_vowels37	500ms_silence	amelia_vowels6	500ms_silence	ewan37	A	stimulus12_A
amelia_vowels2	500ms_silence	amelia_vowels25	500ms_silence	ewan2	A	stimulus13_A
ewan29	500ms_silence	ewan6	500ms_silence	amelia_vowels6	B	stimulus14_B
amelia_vowels6	500ms_silence	amelia_vowels29	500ms_silence	ewan29	B	stimulus15_B
ewan25	500ms_silence	ewan2	500ms_silence	amelia_vowels25	A	stimulus16_A
ewan6	500ms_silence	ewan45	500ms_silence	amelia_vowels6	A	stimulus17_A
amelia_vowels41	500ms_silence	amelia_vowels2	500ms_silence	ewan2	B	stimulus18_B
ewan2	500ms_silence	ewan41	500ms_silence	amelia_vowels41	B	stimulus19_B
amelia_vowels45	500ms_silence	amelia_vowels6	500ms_silence	ewan45	A	stimulus20_A
ewan10	500ms_silence	ewan17	500ms_silence	amelia_vowels10	A	stimulus21_A
ewan21	500ms_silence	ewan14	500ms_silence	amelia_vowels14	B	stimulus22_B
amelia_vowels14	500ms_silence	amelia_vowels21	500ms_silence	ewan21	B	stimulus23_B
amelia_vowels17	500ms_silence	amelia_vowels10	500ms_silence	ewan17	A	stimulus24_A
