File1,Silence1,File2,Silence2,File3,CORR_ANS,filename,tripletid,ACTUAL_FILES
amelia_HADI2.wav,500ms_silence.wav,amelia_HAEDI1.wav,500ms_silence.wav,ewan_HADI2.wav,A,stimulus1,stimulus1_A,stimulus1_A
amelia_HAEDAH1.wav,500ms_silence.wav,amelia_HADAH2.wav,500ms_silence.wav,ewan_HADAH2.wav,B,stimulus2,stimulus2_B,stimulus2_B
ewan_HADAH2.wav,500ms_silence.wav,ewan_HAEDAH1.wav,500ms_silence.wav,amelia_HAEDAH1.wav,B,stimulus3,stimulus3_B,stimulus3_B
ewan_HAEDI1.wav,500ms_silence.wav,ewan_HADI2.wav,500ms_silence.wav,amelia_HAEDI1.wav,A,stimulus4,stimulus4_A,stimulus4_A
amelia_HADAH2.wav,500ms_silence.wav,amelia_HEEDAH1.wav,500ms_silence.wav,ewan_HADAH2.wav,A,stimulus5,stimulus5_A,stimulus5_A
ewan_HEEDI1.wav,500ms_silence.wav,ewan_HADI2.wav,500ms_silence.wav,amelia_HADI2.wav,B,stimulus6,stimulus6_B,stimulus6_B
ewan_HADAH2.wav,500ms_silence.wav,ewan_HEEDAH1.wav,500ms_silence.wav,amelia_HEEDAH1.wav,B,stimulus7,stimulus7_B,stimulus7_B
amelia_HEEDI1.wav,500ms_silence.wav,amelia_HADI2.wav,500ms_silence.wav,ewan_HEEDI1.wav,A,stimulus8,stimulus8_A,stimulus8_A
ewan_HADI2.wav,500ms_silence.wav,ewan_HOODI1.wav,500ms_silence.wav,amelia_HADI2.wav,A,stimulus9,stimulus9_A,stimulus9_A
amelia_HOODAH1.wav,500ms_silence.wav,amelia_HADAH2.wav,500ms_silence.wav,ewan_HADAH2.wav,B,stimulus10,stimulus10_B,stimulus10_B
ewan_HADAH2.wav,500ms_silence.wav,ewan_HOODAH1.wav,500ms_silence.wav,amelia_HOODAH1.wav,B,stimulus11,stimulus11_B,stimulus11_B
amelia_HOODI1.wav,500ms_silence.wav,amelia_HADI2.wav,500ms_silence.wav,ewan_HOODI1.wav,A,stimulus12,stimulus12_A,stimulus12_A
amelia_HADAH2.wav,500ms_silence.wav,amelia_HUHDAH1.wav,500ms_silence.wav,ewan_HADAH2.wav,A,stimulus13,stimulus13_A,stimulus13_A
ewan_HUHDI1.wav,500ms_silence.wav,ewan_HADI2.wav,500ms_silence.wav,amelia_HADI2.wav,B,stimulus14,stimulus14_B,stimulus14_B
amelia_HADI2.wav,500ms_silence.wav,amelia_HUHDI1.wav,500ms_silence.wav,ewan_HUHDI1.wav,B,stimulus15,stimulus15_B,stimulus15_B
ewan_HUHDAH1.wav,500ms_silence.wav,ewan_HADAH2.wav,500ms_silence.wav,amelia_HUHDAH1.wav,A,stimulus16,stimulus16_A,stimulus16_A
ewan_HADI2.wav,500ms_silence.wav,ewan_WHODI1.wav,500ms_silence.wav,amelia_HADI2.wav,A,stimulus17,stimulus17_A,stimulus17_A
amelia_WHODAH1.wav,500ms_silence.wav,amelia_HADAH2.wav,500ms_silence.wav,ewan_HADAH2.wav,B,stimulus18,stimulus18_B,stimulus18_B
ewan_HADAH2.wav,500ms_silence.wav,ewan_WHODAH1.wav,500ms_silence.wav,amelia_WHODAH1.wav,B,stimulus19,stimulus19_B,stimulus19_B
amelia_WHODI1.wav,500ms_silence.wav,amelia_HADI2.wav,500ms_silence.wav,ewan_WHODI1.wav,A,stimulus20,stimulus20_A,stimulus20_A
ewan_HAEDAH2.wav,500ms_silence.wav,ewan_HEEDAH1.wav,500ms_silence.wav,amelia_HAEDAH2.wav,A,stimulus21,stimulus21_A,stimulus21_A
ewan_HEEDI1.wav,500ms_silence.wav,ewan_HAEDI2.wav,500ms_silence.wav,amelia_HAEDI2.wav,B,stimulus22,stimulus22_B,stimulus22_B
amelia_HAEDI2.wav,500ms_silence.wav,amelia_HEEDI1.wav,500ms_silence.wav,ewan_HEEDI1.wav,B,stimulus23,stimulus23_B,stimulus23_B
amelia_HEEDAH1.wav,500ms_silence.wav,amelia_HAEDAH2.wav,500ms_silence.wav,ewan_HEEDAH1.wav,A,stimulus24,stimulus24_A,stimulus24_A
amelia_HAEDAH2.wav,500ms_silence.wav,amelia_HOODAH1.wav,500ms_silence.wav,ewan_HAEDAH2.wav,A,stimulus25,stimulus25_A,stimulus25_A
amelia_HOODI1.wav,500ms_silence.wav,amelia_HAEDI2.wav,500ms_silence.wav,ewan_HAEDI2.wav,B,stimulus26,stimulus26_B,stimulus26_B
ewan_HAEDI2.wav,500ms_silence.wav,ewan_HOODI1.wav,500ms_silence.wav,amelia_HOODI1.wav,B,stimulus27,stimulus27_B,stimulus27_B
ewan_HOODAH1.wav,500ms_silence.wav,ewan_HAEDAH2.wav,500ms_silence.wav,amelia_HOODAH1.wav,A,stimulus28,stimulus28_A,stimulus28_A
ewan_HAEDAH2.wav,500ms_silence.wav,ewan_HUHDAH1.wav,500ms_silence.wav,amelia_HAEDAH2.wav,A,stimulus29,stimulus29_A,stimulus29_A
amelia_HUHDAH1.wav,500ms_silence.wav,amelia_HAEDAH2.wav,500ms_silence.wav,ewan_HAEDAH2.wav,B,stimulus30,stimulus30_B,stimulus30_B
amelia_HAEDI2.wav,500ms_silence.wav,amelia_HUHDI1.wav,500ms_silence.wav,ewan_HUHDI1.wav,B,stimulus31,stimulus31_B,stimulus31_B
ewan_HUHDI1.wav,500ms_silence.wav,ewan_HAEDI2.wav,500ms_silence.wav,amelia_HUHDI1.wav,A,stimulus32,stimulus32_A,stimulus32_A
amelia_HAEDAH2.wav,500ms_silence.wav,amelia_WHODAH1.wav,500ms_silence.wav,ewan_HAEDAH2.wav,A,stimulus33,stimulus33_A,stimulus33_A
amelia_WHODI1.wav,500ms_silence.wav,amelia_HAEDI2.wav,500ms_silence.wav,ewan_HAEDI2.wav,B,stimulus34,stimulus34_B,stimulus34_B
ewan_HAEDI2.wav,500ms_silence.wav,ewan_WHODI1.wav,500ms_silence.wav,amelia_WHODI1.wav,B,stimulus35,stimulus35_B,stimulus35_B
ewan_WHODAH1.wav,500ms_silence.wav,ewan_HAEDAH2.wav,500ms_silence.wav,amelia_WHODAH1.wav,A,stimulus36,stimulus36_A,stimulus36_A
ewan_HEEDI2.wav,500ms_silence.wav,ewan_HOODI1.wav,500ms_silence.wav,amelia_HEEDI2.wav,A,stimulus37,stimulus37_A,stimulus37_A
amelia_HOODI1.wav,500ms_silence.wav,amelia_HEEDI2.wav,500ms_silence.wav,ewan_HEEDI2.wav,B,stimulus38,stimulus38_B,stimulus38_B
