file_TGT,onset_TGT,offset_TGT,item_TGT,word_TGT,speaker_TGT,CV_TGT,context_TGT,phone_TGT,file_OTH,onset_OTH,offset_OTH,item_OTH,word_OTH,speaker_OTH,CV_OTH,context_OTH,phone_OTH,file_X,onset_X,offset_X,item_X,word_X,speaker_X,CV_X,context_X,phone_X
amelia_consonants.wav,74.47714,75.17926,amelia_consonants_28,AFAH,amelia,C,A,f,amelia_consonants.wav,53.0271,53.6525,amelia_consonants_20,AKAH,amelia,C,A,k,ewan.wav,219.3725,219.9225,ewan_74,AFAH,ewan,C,A,f
amelia_consonants.wav,72.1025,72.7625,amelia_consonants_27,AFAH,amelia,C,A,f,amelia_consonants.wav,47.94524,48.5625,amelia_consonants_18,AKAH,amelia,C,A,k,ewan.wav,216.9325,217.4825,ewan_73,AFAH,ewan,C,A,f
amelia_consonants.wav,72.1025,72.7625,amelia_consonants_27,AFAH,amelia,C,A,f,amelia_consonants.wav,47.94524,48.5625,amelia_consonants_18,AKAH,amelia,C,A,k,ewan.wav,219.3725,219.9225,ewan_74,AFAH,ewan,C,A,f
amelia_consonants.wav,72.1025,72.7625,amelia_consonants_27,AFAH,amelia,C,A,f,amelia_consonants.wav,47.94524,48.5625,amelia_consonants_18,AKAH,amelia,C,A,k,ewan.wav,221.8725,222.3925,ewan_75,AFAH,ewan,C,A,f
amelia_consonants.wav,72.1025,72.7625,amelia_consonants_27,AFAH,amelia,C,A,f,amelia_consonants.wav,47.94524,48.5625,amelia_consonants_18,AKAH,amelia,C,A,k,ewan.wav,224.3325,224.8825,ewan_76,AFAH,ewan,C,A,f
amelia_consonants.wav,72.1025,72.7625,amelia_consonants_27,AFAH,amelia,C,A,f,amelia_consonants.wav,50.40306,51.0425,amelia_consonants_19,AKAH,amelia,C,A,k,ewan.wav,216.9325,217.4825,ewan_73,AFAH,ewan,C,A,f
amelia_consonants.wav,72.1025,72.7625,amelia_consonants_27,AFAH,amelia,C,A,f,amelia_consonants.wav,50.40306,51.0425,amelia_consonants_19,AKAH,amelia,C,A,k,ewan.wav,219.3725,219.9225,ewan_74,AFAH,ewan,C,A,f
amelia_consonants.wav,72.1025,72.7625,amelia_consonants_27,AFAH,amelia,C,A,f,amelia_consonants.wav,50.40306,51.0425,amelia_consonants_19,AKAH,amelia,C,A,k,ewan.wav,221.8725,222.3925,ewan_75,AFAH,ewan,C,A,f
amelia_consonants.wav,72.1025,72.7625,amelia_consonants_27,AFAH,amelia,C,A,f,amelia_consonants.wav,45.34975,46.0025,amelia_consonants_17,AKAH,amelia,C,A,k,ewan.wav,224.3325,224.8825,ewan_76,AFAH,ewan,C,A,f
amelia_consonants.wav,72.1025,72.7625,amelia_consonants_27,AFAH,amelia,C,A,f,amelia_consonants.wav,53.0271,53.6525,amelia_consonants_20,AKAH,amelia,C,A,k,ewan.wav,216.9325,217.4825,ewan_73,AFAH,ewan,C,A,f
amelia_consonants.wav,72.1025,72.7625,amelia_consonants_27,AFAH,amelia,C,A,f,amelia_consonants.wav,53.0271,53.6525,amelia_consonants_20,AKAH,amelia,C,A,k,ewan.wav,221.8725,222.3925,ewan_75,AFAH,ewan,C,A,f
amelia_consonants.wav,67.4925,68.1125,amelia_consonants_25,AFAH,amelia,C,A,f,amelia_consonants.wav,53.0271,53.6525,amelia_consonants_20,AKAH,amelia,C,A,k,ewan.wav,224.3325,224.8825,ewan_76,AFAH,ewan,C,A,f
amelia_consonants.wav,67.4925,68.1125,amelia_consonants_25,AFAH,amelia,C,A,f,amelia_consonants.wav,53.0271,53.6525,amelia_consonants_20,AKAH,amelia,C,A,k,ewan.wav,221.8725,222.3925,ewan_75,AFAH,ewan,C,A,f
amelia_consonants.wav,67.4925,68.1125,amelia_consonants_25,AFAH,amelia,C,A,f,amelia_consonants.wav,53.0271,53.6525,amelia_consonants_20,AKAH,amelia,C,A,k,ewan.wav,219.3725,219.9225,ewan_74,AFAH,ewan,C,A,f
amelia_consonants.wav,67.4925,68.1125,amelia_consonants_25,AFAH,amelia,C,A,f,amelia_consonants.wav,53.0271,53.6525,amelia_consonants_20,AKAH,amelia,C,A,k,ewan.wav,216.9325,217.4825,ewan_73,AFAH,ewan,C,A,f
amelia_consonants.wav,67.4925,68.1125,amelia_consonants_25,AFAH,amelia,C,A,f,amelia_consonants.wav,50.40306,51.0425,amelia_consonants_19,AKAH,amelia,C,A,k,ewan.wav,224.3325,224.8825,ewan_76,AFAH,ewan,C,A,f
amelia_consonants.wav,67.4925,68.1125,amelia_consonants_25,AFAH,amelia,C,A,f,amelia_consonants.wav,50.40306,51.0425,amelia_consonants_19,AKAH,amelia,C,A,k,ewan.wav,221.8725,222.3925,ewan_75,AFAH,ewan,C,A,f
amelia_consonants.wav,72.1025,72.7625,amelia_consonants_27,AFAH,amelia,C,A,f,amelia_consonants.wav,53.0271,53.6525,amelia_consonants_20,AKAH,amelia,C,A,k,ewan.wav,219.3725,219.9225,ewan_74,AFAH,ewan,C,A,f
amelia_consonants.wav,72.1025,72.7625,amelia_consonants_27,AFAH,amelia,C,A,f,amelia_consonants.wav,45.34975,46.0025,amelia_consonants_17,AKAH,amelia,C,A,k,ewan.wav,221.8725,222.3925,ewan_75,AFAH,ewan,C,A,f
amelia_consonants.wav,72.1025,72.7625,amelia_consonants_27,AFAH,amelia,C,A,f,amelia_consonants.wav,45.34975,46.0025,amelia_consonants_17,AKAH,amelia,C,A,k,ewan.wav,219.3725,219.9225,ewan_74,AFAH,ewan,C,A,f
amelia_consonants.wav,72.1025,72.7625,amelia_consonants_27,AFAH,amelia,C,A,f,amelia_consonants.wav,45.34975,46.0025,amelia_consonants_17,AKAH,amelia,C,A,k,ewan.wav,216.9325,217.4825,ewan_73,AFAH,ewan,C,A,f
amelia_consonants.wav,69.7425,70.4125,amelia_consonants_26,AFAH,amelia,C,A,f,amelia_consonants.wav,45.34975,46.0025,amelia_consonants_17,AKAH,amelia,C,A,k,ewan.wav,216.9325,217.4825,ewan_73,AFAH,ewan,C,A,f
