tripletid,file_X,onset_X,offset_X,presentation_order,Practice,Target phone,Other phone,phoneitem_id_X,phone1_X,phone2_X,phone3_X,talker_X,sex_X,dialect_X,Block,dialect_OTH,dialect_TGT,distance_OTH_norm,distance_TGT_norm,file_OTH,file_TGT,offset_OTH,offset_TGT,onset_OTH,onset_TGT,phone1_OTH,phone1_TGT,phone3_OTH,phone3_TGT,phoneitem_id_OTH,phoneitem_id_TGT,sex_OTH,sex_TGT,talker_OTH,talker_TGT
t00000050941,TEST/DR5/MBPM0/SX47,0.115,0.3816,AB,FALSE,aa,ae,i30731,m,aa,m,MBPM0,M,DR5,B1,DR6,DR6,19.84767178,17.55152771,TRAIN/DR6/FHXS0/SX355,TRAIN/DR6/FHXS0/SI2335,2.4421,2.3586,2.2036,2.0689,m,m,m,m,i161117,i161067,F,F,FHXS0,FHXS0
t00000105620,TRAIN/DR7/MKDB0/SX62,0.3275,0.5511,AB,FALSE,aa,ae,i140961,k,aa,n,MKDB0,M,DR7,B2,DR7,DR7,21.41337204,24.52410511,TRAIN/DR7/MTML0/SX75,TRAIN/DR7/MTML0/SX435,0.8334,1.8589,0.6206,1.5925,k,k,n,n,i146038,i145924,M,M,MTML0,MTML0
t00000105963,TRAIN/DR6/MSAT1/SX353,0.1939,0.4825,AB,FALSE,aa,ae,i165116,k,aa,n,MSAT1,M,DR6,B3,DR7,DR7,22.23822021,17.09594404,TRAIN/DR7/MJFR0/SX75,TRAIN/DR7/MJFR0/SX435,0.9286,2.7287,0.6725,2.2425,k,k,n,n,i137166,i137024,M,M,MJFR0,MJFR0
t00000095760,TRAIN/DR4/MLJC0/SX55,0.8789,1.0684,BA,FALSE,aa,ae,i54456,k,aa,m,MLJC0,M,DR4,B1,DR2,DR2,24.06687816,23.17813737,TRAIN/DR2/FJKL0/SX392,TRAIN/DR2/FJKL0/SI932,1.1566,2.4759,0.9347,2.1825,k,k,m,m,i90972,i90917,F,F,FJKL0,FJKL0
t00000075973,TEST/DR4/MBNS0/SX50,0.4934,0.7258,BA,FALSE,aa,ae,i7672,r,aa,f,MBNS0,M,DR4,B2,DR4,DR4,18.33590813,12.75365844,TRAIN/DR4/MARW0/SX286,TRAIN/DR4/MARW0/SI646,2.3089,1.5825,2.06,1.3325,r,r,f,f,i56707,i56898,M,M,MARW0,MARW0
t00000000425,TEST/DR1/FDAC1/SX304,1.0802,1.53,BA,FALSE,aa,ae,i44329,t,aa,k,FDAC1,F,DR1,B3,DR6,DR6,14.68525597,23.74045887,TEST/DR6/FLNH0/SI584,TEST/DR6/FLNH0/SI941,0.7519,4.1225,0.4804,3.7991,t,t,k,k,i40196,i40162,F,F,FLNH0,FLNH0
t00000017157,TRAIN/DR2/MDWD0/SA1,0.6525,0.8525,AB,FALSE,aa,ah,i99043,d,aa,r,MDWD0,M,DR2,B1,DR7,DR7,20.69855031,20.15822254,TRAIN/DR7/FBLV0/SX338,TRAIN/DR7/FBLV0/SA1,2.2167,0.9321,2.0341,0.6971,d,d,r,r,i136059,i136018,F,F,FBLV0,FBLV0
t00000098530,TRAIN/DR5/FSKP0/SX288,0.7425,1.0757,AB,FALSE,aa,ah,i124645,k,aa,m,FSKP0,F,DR5,B2,DR1,DR1,19.59432432,18.39428073,TEST/DR1/FELC0/SX306,TEST/DR1/FELC0/SX36,1.5324,1.2896,1.2825,1.0025,k,k,m,m,i44051,i43806,F,F,FELC0,FELC0
t00000012734,TEST/DR4/FJMG0/SX101,3.4925,3.765,AB,FALSE,aa,ah,i3801,hh,aa,l,FJMG0,F,DR4,B3,DR7,DR7,18.95017655,16.82213423,TRAIN/DR7/MRMG0/SX360,TRAIN/DR7/MRMG0/SX270,2.8475,0.6434,2.48,0.3968,hh,hh,l,l,i151280,i151284,M,M,MRMG0,MRMG0
t00000007711,TRAIN/DR2/MTAT1/SX419,2.1436,2.4912,BA,FALSE,aa,ah,i96192,w,aa,tcl,MTAT1,M,DR2,B1,DR7,DR7,15.57888544,15.62710799,TRAIN/DR7/MSAH1/SI2309,TRAIN/DR7/MSAH1/SX419,1.6332,1.7856,1.5369,1.5718,w,w,tcl,tcl,i146153,i146182,M,M,MSAH1,MSAH1
