subject_id,subject_language,survey_time,chrome,firefox,IE,safari,opera,other,don't know,headphones ,speakers,earbuds,very bad,bad,normal,good,very good,distractions_yes,distractions_no,wireless,wired,very_slowly,slowly,tolerably_so,pretty_fast,no_loading_time,satisfaction
X_NBOVZKXHYP,French_turkers,0:31.5,1,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0
X_GSCFJIHBAT,French_turkers,0:37.7,1,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,65.0
X_GNFCPBLQWH,French_turkers,0:30.4,1,0,0,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,69.0
X_XFJHTRAVDS,French_turkers,0:27.3,1,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,35.0
X_RAJNVIKESZ,French_turkers,0:35.1,1,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,73.0
X_VTOCLMQXBG,French_turkers,0:29.0,1,0,0,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0
X_IQXSHNGZCM,French_turkers,0:28.3,1,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,88.0
X_FOEUYGLXMN,French_turkers,0:32.5,1,0,0,0,0,0,0,1,0.0,0,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,75.0
X_DZKTGHQUVX,French_turkers,0:34.8,1,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,50.0
X_AOWFGVKSRL,French_turkers,0:16.6,1,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,64.0
X_JELXPGUQHS,French_turkers,0:41.6,1,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,65.0
X_OZPVJCDNWB,English_turkers,0:17.6,1,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,63.0
X_VSADHMNRTY,English_turkers,0:27.2,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,95.0
X_QSIDGNJYEP,English_turkers,0:24.6,1,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,71.0
X_YEQIXKGTAS,English_turkers,0:29.8,1,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,57.0
X_AXWEZDQOFS,English_turkers,0:50.7,1,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,89.0
X_PEONHBIQRV,English_turkers,0:30.1,0,1,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,63.0
X_PGVFRHIYSB,English_turkers,0:29.2,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,86.0
X_KBXGIJULTR,English_turkers,0:21.7,1,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,68.0
X_QPUMCYKHDR,English_turkers,0:28.2,1,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,86.0
X_FWBUSNJKYC,English_turkers,0:33.9,1,0,0,0,0,0,0,0,0,1,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,92.0
X_HWGYAJIBSR,English_turkers,0:40.1,1,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,97.0
X_WGBDQTUZRF,English_turkers,0:18.8,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,90.0
X_HEBZOCRNSI,English_turkers,0:24.5,0,1,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,87.0
X_ZNYPAJQFXM,English_turkers,0:36.7,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,82.0
X_GQNFZYRPUA,English_turkers,0:23.3,1,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
X_BLEVGUCNMR,English_turkers,0:18.8,1,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,98.0
X_YTNIQGBFUK,English_turkers,0:39.9,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0
X_IORUAGCTBP,English_turkers,0:31.9,1,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,93.0
X_BUGXOYJZHC,English_turkers,0:26.0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,94.0
X_AKLYBHVNXS,English_turkers,0:31.0,1,0,0,0,0,0,0,0,1.0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,84.0
X_JFHIRBXWTS,English_turkers,0:21.3,0,1,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,97.0
X_ICEAYUQSRH,English_turkers,0:30.7,1,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,71.0
X_MUVEAKSGPH,English_turkers,0:39.8,1,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,79.0
