"","subject","trial","Phone_NOTENG","Phone_ENG","Econ","Loc","Glob","acoustic_distance","response_var"
"1","subject_1","trial_1","bʰ","b",0.01668520578,0.1062291435,0.1683644595,0.0618853178926599,1
"2","subject_2","trial_1","bʰ","d",0.01668520578,0.1062291435,0.1683644595,-0.66428426160508,1
"3","subject_3","trial_1","bʰ","g",0.01668520578,0.1062291435,0.1683644595,-0.65362190141363,1
"4","subject_4","trial_1","bʰ","p",0.01668520578,0.1062291435,0.1683644595,-0.219837265703499,0
"5","subject_5","trial_1","bʰ","t",0.01668520578,0.1062291435,0.1683644595,-0.85640986837544,0
"6","subject_6","trial_1","bʰ","k",0.01668520578,0.1062291435,0.1683644595,-0.85640986837544,1
"7","subject_7","trial_1","bʰ","v",0.01668520578,0.1062291435,0.1683644595,-0.324695590643819,1
"8","subject_8","trial_1","d̪ʰ","b",0.2001093494,0.1550027337,0.2191323693,-0.53924567926845,1
"9","subject_9","trial_1","d̪ʰ","d",0.2001093494,0.1550027337,0.2191323693,0.30164056720466,1
"10","subject_10","trial_1","d̪ʰ","g",0.2001093494,0.1550027337,0.2191323693,-0.53513664966592,1
"11","subject_11","trial_1","d̪ʰ","p",0.2001093494,0.1550027337,0.2191323693,-0.91295934236769,1
"12","subject_12","trial_1","d̪ʰ","t",0.2001093494,0.1550027337,0.2191323693,-0.11503790598643,0
"13","subject_13","trial_1","d̪ʰ","k",0.2001093494,0.1550027337,0.2191323693,-0.72666523095823,1
"14","subject_14","trial_1","d̪ʰ","ð",0.2001093494,0.1550027337,0.2191323693,-0.27898720356059,1
"15","subject_15","trial_1","ɖ","b",0.3817204301,0.1693548387,0.03225806452,-0.47826465691113,1
"16","subject_16","trial_1","ɖ","d",0.3817204301,0.1693548387,0.03225806452,0.17303232959971,1
"17","subject_17","trial_1","ɖ","g",0.3817204301,0.1693548387,0.03225806452,-0.6205589829249,1
"18","subject_18","trial_1","ɖ","p",0.3817204301,0.1693548387,0.03225806452,-0.85600230262639,1
"19","subject_19","trial_1","ɖ","t",0.3817204301,0.1693548387,0.03225806452,-0.27667604381396,0
"20","subject_20","trial_1","ɖ","k",0.3817204301,0.1693548387,0.03225806452,-0.91615826003434,1
"21","subject_21","trial_1","ɖ","ð",0.3817204301,0.1693548387,0.03225806452,-0.58853296579063,1
"22","subject_22","trial_1","ɖʰ","b",0.04786680541,0.08532778356,0.2474881015,-0.68808191514267,1
"23","subject_23","trial_1","ɖʰ","d",0.04786680541,0.08532778356,0.2474881015,0.20167511999017,0
"24","subject_24","trial_1","ɖʰ","g",0.04786680541,0.08532778356,0.2474881015,-0.54541839393655,1
"25","subject_25","trial_1","ɖʰ","p",0.04786680541,0.08532778356,0.2474881015,-0.834715444404,0
"26","subject_26","trial_1","ɖʰ","t",0.04786680541,0.08532778356,0.2474881015,-0.3368152204949,1
"27","subject_27","trial_1","ɖʰ","k",0.04786680541,0.08532778356,0.2474881015,-0.770926331976,1
"28","subject_28","trial_1","ɖʰ","ð",0.04786680541,0.08532778356,0.2474881015,-0.11512523452443,0
"29","subject_29","trial_1","dʒʰ","d",0.01668520578,0.1062291435,0.1239388795,-0.433702190605939,1
"30","subject_30","trial_1","dʒʰ","z",0.01668520578,0.1062291435,0.1239388795,-0.67116255861138,1
"31","subject_1","trial_2","dʒʰ","t",0.01668520578,0.1062291435,0.1239388795,-0.76136525128921,0
"32","subject_2","trial_2","dʒʰ","s",0.01668520578,0.1062291435,0.1239388795,-0.7233715363913,1
"33","subject_3","trial_2","dʒʰ","d͡ʒ",0.01668520578,0.1062291435,0.1239388795,0.24729505138738,1
"34","subject_4","trial_2","dʒʰ","t͡ʃ",0.01668520578,0.1062291435,0.1239388795,-0.37762794062756,1
"35","subject_5","trial_2","ɡʰ","b",0.01668520578,0.1062291435,0.1516694963,-0.44747281090639,0
"36","subject_6","trial_2","ɡʰ","d",0.01668520578,0.1062291435,0.1516694963,-0.45203414309149,0
"37","subject_7","trial_2","ɡʰ","g",0.01668520578,0.1062291435,0.1516694963,0.20167511999017,1
"38","subject_8","trial_2","ɡʰ","p",0.01668520578,0.1062291435,0.1516694963,-0.78039481232873,1
"39","subject_9","trial_2","ɡʰ","t",0.01668520578,0.1062291435,0.1516694963,-0.96652040763977,1
"40","subject_10","trial_2","ɡʰ","k",0.01668520578,0.1062291435,0.1516694963,-0.0721818889485899,1
"41","subject_11","trial_2","ɳ","n",0.3817204301,0.125,-0.07661290323,0.54887734059071,1
"42","subject_12","trial_2","ɳ","j",0.3817204301,0.125,-0.07661290323,0.24445951631444,1
"43","subject_13","trial_2","ɽ","b",0.0770609319,0.1326164875,0.1553166069,-1.61453638146467,0
"44","subject_14","trial_2","ɽ","d",0.0770609319,0.1326164875,0.1553166069,0.12733145914267,1
"45","subject_15","trial_2","ɽ","g",0.0770609319,0.1326164875,0.1553166069,-0.53831970161309,1
"46","subject_16","trial_2","ɽ","p",0.0770609319,0.1326164875,0.1553166069,-1.11250819479602,1
"47","subject_17","trial_2","ɽ","t",0.0770609319,0.1326164875,0.1553166069,-0.0971209008228699,0
"48","subject_18","trial_2","ɽ","k",0.0770609319,0.1326164875,0.1553166069,-1.78989514613954,1
"49","subject_19","trial_2","ɽ","ð",0.0770609319,0.1326164875,0.1553166069,-0.44747281090639,1
