model_name,coef_econ,coef_loc,coef_glob,model_pos_vars,model_neg_vars,data_pos_vars,data_neg_vars,modelcorrect,stanfile,model_data_name,csv_filename,seed
econ_glob_loc,-1,-1,-1,Econ+Glob+Loc,,,Econ+Glob+Loc,no,stan_models/master_pos.stan,econ_-1_loc_-1_glob_-1_mod_econ_glob_loc,econ_-1_loc_-1_glob_-1.csv,2506.085120566655
econ_glob,-1,-1,-1,Econ+Glob,Loc,,Econ+Glob+Loc,no,stan_models/master_model.stan,econ_-1_loc_-1_glob_-1_mod_econ_glob,econ_-1_loc_-1_glob_-1.csv,3155.988600219367
econ_loc,-1,-1,-1,Econ+Loc,Glob,,Econ+Glob+Loc,no,stan_models/master_model.stan,econ_-1_loc_-1_glob_-1_mod_econ_loc,econ_-1_loc_-1_glob_-1.csv,5777.18689707201
glob_loc,-1,-1,-1,Glob+Loc,Econ,,Econ+Glob+Loc,no,stan_models/master_model.stan,econ_-1_loc_-1_glob_-1_mod_glob_loc,econ_-1_loc_-1_glob_-1.csv,8156.165683178464
econ,-1,-1,-1,Econ,Glob+Loc,,Econ+Glob+Loc,no,stan_models/master_model.stan,econ_-1_loc_-1_glob_-1_mod_econ,econ_-1_loc_-1_glob_-1.csv,6323.602271433221
glob,-1,-1,-1,Glob,Econ+Loc,,Econ+Glob+Loc,no,stan_models/master_model.stan,econ_-1_loc_-1_glob_-1_mod_glob,econ_-1_loc_-1_glob_-1.csv,7830.900034055347
loc,-1,-1,-1,Loc,Econ+Glob,,Econ+Glob+Loc,no,stan_models/master_model.stan,econ_-1_loc_-1_glob_-1_mod_loc,econ_-1_loc_-1_glob_-1.csv,2452.4925076356158
none,-1,-1,-1,,Econ+Glob+Loc,,Econ+Glob+Loc,yes,stan_models/master_neg.stan,econ_-1_loc_-1_glob_-1_mod_none,econ_-1_loc_-1_glob_-1.csv,2961.6856470983475
econ_glob_loc,0,-1,-1,Econ+Glob+Loc,,,Econ+Glob+Loc,no,stan_models/master_pos.stan,econ_0_loc_-1_glob_-1_mod_econ_glob_loc,econ_0_loc_-1_glob_-1.csv,8638.481673819711
econ_glob,0,-1,-1,Econ+Glob,Loc,,Econ+Glob+Loc,no,stan_models/master_model.stan,econ_0_loc_-1_glob_-1_mod_econ_glob,econ_0_loc_-1_glob_-1.csv,9542.746231574332
econ_loc,0,-1,-1,Econ+Loc,Glob,,Econ+Glob+Loc,no,stan_models/master_model.stan,econ_0_loc_-1_glob_-1_mod_econ_loc,econ_0_loc_-1_glob_-1.csv,6230.583033564268
glob_loc,0,-1,-1,Glob+Loc,Econ,,Econ+Glob+Loc,no,stan_models/master_model.stan,econ_0_loc_-1_glob_-1_mod_glob_loc,econ_0_loc_-1_glob_-1.csv,1456.1179481430445
econ,0,-1,-1,Econ,Glob+Loc,,Econ+Glob+Loc,no,stan_models/master_model.stan,econ_0_loc_-1_glob_-1_mod_econ,econ_0_loc_-1_glob_-1.csv,4199.244837401668
glob,0,-1,-1,Glob,Econ+Loc,,Econ+Glob+Loc,no,stan_models/master_model.stan,econ_0_loc_-1_glob_-1_mod_glob,econ_0_loc_-1_glob_-1.csv,2774.5473265310284
loc,0,-1,-1,Loc,Econ+Glob,,Econ+Glob+Loc,no,stan_models/master_model.stan,econ_0_loc_-1_glob_-1_mod_loc,econ_0_loc_-1_glob_-1.csv,5321.781637714012
none,0,-1,-1,,Econ+Glob+Loc,,Econ+Glob+Loc,yes,stan_models/master_neg.stan,econ_0_loc_-1_glob_-1_mod_none,econ_0_loc_-1_glob_-1.csv,2622.033695064485
