_segment,anterior,labial,back,high,ATR,lateral,distributed,LONG,spread,low,syllabic,continuant,nasal,sonorant,coronal,tense,constr,vocalic,strident,EXTRA,consonantal,voice,round
ɛ,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-
ʋ,+,+,-,-,-,-,-,-,-,-,-,+,-,+,-,+,-,-,-,-,-,+,-
ɔ,-,+,+,-,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,-,-,+,+
ɾ̃,+,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,+,-,-,+,+,-
m̂,+,+,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-
ɺ,+,-,-,-,-,+,-,-,-,-,-,-,-,+,+,+,-,+,-,-,+,+,-
z,+,-,-,-,-,-,-,-,-,-,-,+,-,-,+,+,-,-,+,-,+,+,-
ɡ,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-
ɣ,-,-,+,+,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,+,+,-
ɡ͡b,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-
ĵ,-,-,-,+,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,+,-
h̃,-,-,-,-,-,-,-,-,+,+,-,+,+,+,-,+,-,-,-,-,-,-,-
a,-,-,+,-,-,-,-,-,-,+,+,+,-,+,-,-,-,+,-,-,-,+,-
b,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-
e,-,-,-,-,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
d,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,+,-
f,+,+,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,+,-,+,-,-
i,-,-,-,+,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
h,-,-,-,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,-,-,-,-
k,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-
j,-,-,-,+,-,-,-,-,-,-,-,+,-,+,-,+,-,-,-,-,-,+,-
m,+,+,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-
l,+,-,-,-,-,+,-,-,-,-,-,-,-,+,+,+,-,+,-,-,+,+,-
o,-,+,+,-,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,+
n,+,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,+,+,-
p,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-
s,+,-,-,-,-,-,-,-,-,-,-,+,-,-,+,+,-,-,+,-,+,-,-
r,+,-,-,-,-,-,-,-,-,-,-,+,-,+,+,+,-,+,-,-,+,+,-
u,-,+,+,+,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,+
