_segment,_spec_id,anterior,labial,back,high,ATR,lateral,distributed,LONG,spread,low,syllabic,continuant,nasal,sonorant,coronal,tense,constr,vocalic,strident,EXTRA,consonantal,voice,round
X,Spec1,True,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False
X,Spec2,True,True,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
X,Spec3,True,True,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,True,False
X,Spec4,True,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False
X,Spec5,True,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,True,False
X,Spec6,True,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False
X,Spec7,True,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False
X,Spec8,True,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False
X,Spec9,True,True,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,True,False,False,True,False
X,Spec10,True,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,True,False,False,True,False
X,Spec11,True,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False
X,Spec12,True,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,True,False,False,True,False
X,Spec13,True,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,True,False,False,True,False
X,Spec14,True,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,False,True,False
X,Spec15,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,False,False,True,False
X,Spec16,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,True,False,False,True,False
X,Spec17,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,True,False
X,Spec18,True,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,True,False
X,Spec19,True,False,False,True,False,False,False,False,False,False,False,True,True,True,True,False,False,False,True,False,False,True,False
X,Spec20,True,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,True,True,False,False,True,False
X,Spec21,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,True,False
X,Spec22,True,False,False,False,True,True,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,True,False
X,Spec23,True,False,False,False,True,False,False,False,False,False,False,True,True,True,True,False,False,False,True,False,False,True,False
X,Spec24,True,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,True,True,False,False,True,False
X,Spec25,True,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,True,False
X,Spec26,True,False,False,False,False,True,False,False,False,True,False,True,False,True,True,False,False,False,True,False,False,True,False
X,Spec27,True,False,False,False,False,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,False,True,False
X,Spec28,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,True,False,False,True,False,False,True,False
X,Spec29,True,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,False,False,True,False,False,True,False
X,Spec30,True,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,True,True,False,False,True,False
X,Spec31,True,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,True,True,False,False,True,False
X,Spec32,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,True,False,False,True,False
X,Spec33,True,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,True,False,False,True,False
X,Spec34,True,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,True,True,False,False,True,False
X,Spec35,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,False,False,True,False
X,Spec36,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,True,True,False,False,True,False
X,Spec37,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,True,True,False,False,True,False
X,Spec38,False,True,True,False,True,True,True,False,False,False,False,True,False,True,False,False,False,False,True,False,True,True,False
X,Spec39,False,True,True,False,True,False,True,False,False,False,False,True,True,True,False,False,False,False,True,False,True,True,False
X,Spec40,False,True,True,False,True,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,True,True,False
X,Spec41,False,True,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,True,True,False,False,True,False
X,Spec42,False,True,True,False,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,False,True,True,False
X,Spec43,False,True,True,False,False,True,True,False,False,False,True,True,False,True,False,False,False,False,True,False,True,True,False
X,Spec44,False,True,True,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False,True,False,True,True,False
X,Spec45,False,True,True,False,False,False,True,False,False,True,False,True,True,True,False,False,False,False,True,False,True,True,False
X,Spec46,False,True,True,False,False,False,True,False,False,True,False,True,True,False,False,False,False,True,True,False,True,True,False
X,Spec47,False,True,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False
X,Spec48,False,True,True,False,False,False,True,False,False,False,True,True,True,True,False,False,False,False,True,False,True,True,False
X,Spec49,False,True,True,False,False,False,True,False,False,False,True,True,True,False,False,False,False,True,True,False,True,True,False
X,Spec50,False,True,True,False,False,False,True,False,False,False,True,True,False,True,False,False,False,True,True,False,False,True,False
X,Spec51,False,True,True,False,False,False,True,False,False,False,False,True,True,True,False,True,False,False,True,False,True,True,False
X,Spec52,False,True,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False,True,True,False,True,True,False
X,Spec53,False,True,True,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,True,False,False,True,False
X,Spec54,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
X,Spec55,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,False
X,Spec56,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,True,True,False,False,True,False
X,Spec57,False,True,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,True,False
X,Spec58,False,True,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,True,True,False,False,True,False
X,Spec59,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,True,True,False
X,Spec60,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,True,False
X,Spec61,False,True,False,False,True,True,True,False,False,False,False,True,False,True,True,False,False,False,True,False,False,True,False
X,Spec62,False,True,False,False,True,False,True,False,False,False,False,True,True,True,True,False,False,False,True,False,False,True,False
X,Spec63,False,True,False,False,True,False,True,False,False,False,False,True,True,False,True,False,False,True,True,False,False,True,False
X,Spec64,False,True,False,False,True,False,True,False,False,False,False,True,False,True,True,False,False,True,True,False,False,True,False
X,Spec65,False,True,False,False,False,True,True,False,False,True,False,True,False,True,True,False,False,False,True,False,False,True,False
X,Spec66,False,True,False,False,False,True,True,False,False,False,True,True,False,True,True,False,False,False,True,False,False,True,False
X,Spec67,False,True,False,False,False,True,True,False,False,False,False,True,False,True,True,True,False,False,True,False,False,True,False
X,Spec68,False,True,False,False,False,False,True,False,False,True,False,True,True,True,True,False,False,False,True,False,False,True,False
X,Spec69,False,True,False,False,False,False,True,False,False,True,False,True,True,False,True,False,False,True,True,False,False,True,False
X,Spec70,False,True,False,False,False,False,True,False,False,True,False,True,False,True,True,False,False,True,True,False,False,True,False
X,Spec71,False,True,False,False,False,False,True,False,False,False,True,True,True,True,True,False,False,False,True,False,False,True,False
X,Spec72,False,True,False,False,False,False,True,False,False,False,True,True,True,False,True,False,False,True,True,False,False,True,False
X,Spec73,False,True,False,False,False,False,True,False,False,False,True,True,False,True,True,False,False,True,True,False,False,True,False
X,Spec74,False,True,False,False,False,False,True,False,False,False,False,True,True,True,True,True,False,False,True,False,False,True,False
X,Spec75,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,True,False,True,True,False,False,True,False
X,Spec76,False,True,False,False,False,False,True,False,False,False,False,True,False,True,True,True,False,True,True,False,False,True,False
X,Spec77,False,False,True,True,False,True,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,True,False
X,Spec78,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,False,False,False,True,False,False,True,False
X,Spec79,False,False,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,True,True,False,False,True,False
X,Spec80,False,False,True,True,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,True,False
X,Spec81,False,False,True,False,True,True,True,False,False,False,False,True,False,True,True,False,False,False,True,False,False,True,False
X,Spec82,False,False,True,False,True,False,True,False,False,False,False,True,True,True,True,False,False,False,True,False,False,True,False
X,Spec83,False,False,True,False,True,False,True,False,False,False,False,True,True,False,True,False,False,True,True,False,False,True,False
X,Spec84,False,False,True,False,True,False,True,False,False,False,False,True,False,True,True,False,False,True,True,False,False,True,False
X,Spec85,False,False,True,False,False,True,True,False,False,True,False,True,False,True,True,False,False,False,True,False,False,True,False
X,Spec86,False,False,True,False,False,True,True,False,False,False,True,True,False,True,True,False,False,False,True,False,False,True,False
X,Spec87,False,False,True,False,False,True,True,False,False,False,False,True,False,True,True,True,False,False,True,False,False,True,False
X,Spec88,False,False,True,False,False,False,True,False,False,True,False,True,True,True,True,False,False,False,True,False,False,True,False
X,Spec89,False,False,True,False,False,False,True,False,False,True,False,True,True,False,True,False,False,True,True,False,False,True,False
X,Spec90,False,False,True,False,False,False,True,False,False,True,False,True,False,True,True,False,False,True,True,False,False,True,False
X,Spec91,False,False,True,False,False,False,True,False,False,False,True,True,True,True,True,False,False,False,True,False,False,True,False
X,Spec92,False,False,True,False,False,False,True,False,False,False,True,True,True,False,True,False,False,True,True,False,False,True,False
X,Spec93,False,False,True,False,False,False,True,False,False,False,True,True,False,True,True,False,False,True,True,False,False,True,False
X,Spec94,False,False,True,False,False,False,True,False,False,False,False,True,True,True,True,True,False,False,True,False,False,True,False
X,Spec95,False,False,True,False,False,False,True,False,False,False,False,True,True,False,True,True,False,True,True,False,False,True,False
X,Spec96,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,True,False,True,True,False,False,True,False
