"","x"
"1","ɡ͡b"
"2","kʼ;kxʼ;ɡkx’;ʔk"
"3","ɡʷ"
"4","ʃʷ;ɕɥ;ʃ̥ʷ"
"5","ts;tz"
"6","ʈʂ;tʂ"
"7","ɬ"
"8","ʁʷ"
"9","ɮ"
"10","tʼ;tθʼ;ʔt"
"11","dz"
"12","kʰʷ"
"13","ʂ"
"14","kʼʷ;kʷʼ"
"15","tsʰ"
"16","tsʼ;tzʼ"
"17","pʼ;ʔp"
"18","qʰ"
"19","pʰ"
"20","qʷ"
"21","ɡ͡b;ɡ͡bʲ;ɡ̂͡b̂"
"22","b;b̏"
"23","d̪;d̻"
"24","s̪;s̻"
"25","t̪"
"26","tʃʼ"
"27","l̪"
"28","t̪ʼ"
"29","n̪;n̻"
"30","ɾ̪"
"31","z̪;z̻"
"32","bʷ"
"33","ɸ"
"34","β"
"35","cʰ;kʰʲ;cçʰ"
"36","tʃʰ;tɕʰ"
"37","d;d̏"
"38","s̪ˤ;s̻ˤ"
"39","sʲ"
"40","sʷ"
"41","ŋʷ"
"42","f"
"43","ʎ"
"44","ɽ"
"45","ɳ"
"46","ɭ"
"47","ʈ;ʈʲ;ʈɽ"
"48","ɓ"
"49","ɗ"
"50","k;k̀"
"51","kʰ;kxʰ"
"52","qʼ"
"53","mʰ;m̤"
"54","nʰ;n̤"
"55","pf;pv"
"56","bv"
"57","tɬʼ;tlʼ"
"58","tɬ;tl"
"59","ɡʰ"
"60","t̪ʰ"
"61","d̪ʰ"
"62","dʒʰ"
"63","ʈʰ"
"64","ɖʰ"
"65","bʰ"
"66","ŋ͡m;ŋ͡mʲ"
"67","k͡p;k͡pʲ;k̂͡p̂;ɡ͡p"
"68","p;p̀"
"69","r̪"
"70","r̥"
"71","s;s̀"
"72","r;ɹ"
"73","N?;m͡ŋ"
"74","zʷ"
"75","dʲ"
"76","mʲ"
"77","lʲ;l̟ʲ"
"78","nʲ;n̟ʲ"
"79","tʲ"
"80","t;t̀"
"81","fʲ"
"82","rʲ;r̟ʲ"
"83","bʲ"
"84","pʲ"
"85","t̪s̪;t̻s̻;t̪s̪ʱ"
"86","ʝ;ʁʲ;ɣʲ"
"87","n̪ʲ"
"88","t̪ʲ"
"89","d̪ʲ"
"90","xʷ"
"91","mʷ"
"92","v"
"93","pʷ"
"94","t̪͡k;tç;tx;dx;p͡k"
"95","mʼ;ʔm"
"96","qʼʷ;qʷʼ"
"97","ʀ"
"98","k͡p"
"99","n’;ʔn"
"100","lʼ"
"101","ʔb;bʼ;ɓ"
"102","ɣʷ"
"103","ɖ;ɖʲ;ɖɽ"
"104","cʼ;cçʼ;kʼʲ;qʼʲ"
"105","ǀ;ǀx;ǀq;nkǀ"
"106","ɠ"
"107","ʄ;ɠʲ"
"108","ɢ"
"109","dz"
"110","ʃ̀;ʃ"
"111","sʼ"
"112","v̤;vʰ"
"113","l̤;lʰ"
"114","ʕ;ʁˤ"
"115","d̪z̪"
"116","dʰ"
"117","dl"
"118","ħ;χˤ"
"119","θ"
"120","ɲ;ᵐɲ"
"121","ɺ;l;ʔl"
"122","r̥"
"123","z"
"124","tˠ;ǃ;ǃq;ǃx;ǃʒ;ǃʃ;ǃd;ǃs;ǃr;ǃt;ǃz"
"125","ɾ;ɾð"
"126","ç;xʲ;χʲ"
"127","ɣ"
"128","ɟʝ;ɡʲ;ɟ;b͡ʝ"
"129","ɡ"
"130","x"
"131","kʲ;c;cç;b͡ç;ɟ̥;qʲ"
"132","tˤ"
"133","χ"
"134","ʁ"
"135","q;qχ"
"136","ʈʂʼ;tʂʼ"
"137","tʰ"
"138","kʷ;kʷʱ"
"139","ʐ"
"140","χʷ"
