label,kbd_prime
ɡ͡b,0
t̻ɕʼ,0
kʼ;kxʼ;ɡkx’;ʔk,0
ɡʷ,0
ʃʷ;ɕɥ;ʃ̥ʷ,0
tʃʷ;tʃ͡kʷ,0
ts;tz,0
ʂʰ,0
ʃʼ,1
ʈʂ;tʂ,0
ɬ,1
ʁʷ,1
ɮ,0
ʒʷ;ʒ̥ʷ,0
ɬʼ,0
d̻ʑ;d̻ʒ̻,0
tʼ;tθʼ;ʔt,1
dʒʷ;dʑɥ,0
ʃʼʷ,0
tʃʰʷ,0
ɖʐ;dʐ,0
dz,1
xʰ,0
kʰʷ,0
ʂ,0
kʼʷ;kʷʼ,0
tsʰ,0
t̻ɕ,0
tsʼ;tzʼ,1
pʼ;ʔp,1
qʰ,0
ʈʂʰ,0
pʰ,0
qʷ,1
ɡ͡b;ɡ͡bʲ;ɡ̂͡b̂,0
b;b̏,0
d̪;d̻,0
s̪;s̻,0
t̪,0
tʃʼ,0
l̪,0
t̪ʼ,0
n̪;n̻,0
ɾ̪,0
z̪;z̻,0
s̪ʼ,0
bʷ,0
ɸ,0
β,0
cʰ;kʰʲ;cçʰ,0
tʃʰ;tɕʰ,0
d;d̏,0
s̪ˤ;s̻ˤ,0
t̪ˤ,0
tɕɥ;ʃ͡kʷ,0
sʲ,0
sʷ,0
ɲɥ,0
ŋʷ,0
f,0
ʎ,0
ɽ,0
ɳ,0
ɭ,0
ʈ;ʈʲ;ʈɽ,0
fˤ,0
bˤ,0
mˤ,0
ɾˤ,0
nˤ,0
ɡˤ,0
l̪ˤ,0
ɓ,0
ɗ,0
dˤ,0
d̪ˤ,0
z̪ˤ,0
ɾ̪ˤ,0
k;k̀,0
z̻ˤ,0
kʰ;kxʰ,0
qʼ,1
mʰ;m̤,0
nʰ;n̤,0
pf;pv,0
bv,0
tɬʼ;tlʼ,0
tɬʰ;tlʰ,0
tɬ;tl,0
ɡʰ,0
t̪ʰ,0
d̪ʰ,0
dʒʰ,0
ʈʰ,0
ɖʰ,0
bʰ,0
ŋ͡m;ŋ͡mʲ,0
k͡p;k͡pʲ;k̂͡p̂;ɡ͡p,0
p;p̀,0
ɟʰ,0
r̪,0
ɗ̪,0
r̥,0
s;s̀,0
r̥ʰ,0
ŋ̥ʰ,0
ɲ̥ʰ,0
r;ɹ,0
l̥ʰ,0
m̥ʰ,0
fˡ,0
vˡ,0
bˡ,0
pˡ,0
mˡ,0
N?;m͡ŋ,0
zʷ,0
dʲ,0
mʲ,0
lʲ;l̟ʲ,0
nʲ;n̟ʲ,0
tʲ,0
vʲ,0
t;t̀,0
tsʲ,0
fʲ,0
zʲ,0
rʲ;r̟ʲ,0
bʲ,0
pʲ,0
t̪s̪;t̻s̻;t̪s̪ʱ,0
t̪͡c,0
pʲʰ,0
ʝ;ʁʲ;ɣʲ,0
ř,0
n̪ʲ,0
t̪ʲ,0
d̪ʲ,0
xʷ,1
mʷ,0
v,0
fʷ,0
pʷ,0
t̪͡k;tç;tx;dx;p͡k,0
